,Investigator,Number of Studies,Top Condition,Top Condition Count
4787,oliviero riggio,2,liver cirrhosis,1.0
4788,matthias stelljes,2,leukemia,1.0
4789,massimo terzolo,2,adrenocortical carcinoma,2.0
4790,laurence bouillet,2,sickle cell disease,1.0
4791,john s bomalaski,2,hepatocellular carcinoma,1.0
4792,susanne seifert,2,huntington's disease,2.0
4793,franco cozzi,2,systemic sclerosis,2.0
4794,franco franceschini,2,urinary symptoms,1.0
4795,raffaele de caterina,2,stable coronary artery disease undergoing pci,1.0
4796,nathalie biebuyck,2,thrombotic thrombocytopenic purpura (ttp),2.0
4797,arielle s lee,2,stage iii nsclc,1.0
4798,francesca maria quaglia,2,relapse leukemia,1.0
4799,peter hau,2,h3 k27m,1.0
4800,chandrashekar kumbar,2,ventricular tachycardia,1.0
4801,andrzej stawarski,2,crohn's disease (cd),1.0
4802,se hoon park,2,physiological effects of drugs,1.0
4803,hye ryun kim,2,"carcinoma, non-small-cell lung",1.0
4804,shou-tung chen,2,breast neoplasms,1.0
4805,neda rasouli,2,obesity,2.0
4806,hsuan-jen shih,2,small lymphocytic lymphoma,1.0
4807,francesco versaci,2,atherosclerosis,1.0
4808,ludger schöls,2,friedreich's ataxia,1.0
4809,david ziegler,2,h3 k27m,1.0
4810,laure goursaud,2,myelodysplastic syndromes (mds),1.0
4811,omkar marathe,2,non small cell lung cancer,1.0
4812,stephan kendall,2,relapsed or refractory multiple myeloma,1.0
4813,melanie maytin,2,ventricular tachycardia,1.0
4814,elias siraj,2,type 2 diabetes,1.0
4815,alberto c di martino,2,"osteoarthritis, hip",1.0
4816,javier martin de carpi,2,crohn's disease (cd),1.0
4817,alessandro della puppa,2,"glioma, malignant",1.0
4818,davide facchinelli,2,chronic lymphocytic leukemia,1.0
4819,jonathan halford,2,dravet syndrome (ds),2.0
4820,philip mease,2,"lupus erythematosus, systemic",1.0
4821,dietrich tews,2,type 2 diabetes,2.0
4822,maria del rosario arechavaleta granell,2,obesity,1.0
4823,timna naftali,2,ulcerative colitis,2.0
4824,wilma barcellini,2,idiopathic thrombocytopenic purpura,1.0
4825,karl leblanc,2,hernia,1.0
4826,ricardo cubedo,2,pleomorphic liposarcoma,1.0
4827,lena brandefors,2,dlbcl,1.0
4828,marta batus,2,soft tissue sarcoma,1.0
4829,jie wu,2,crohn's disease (cd),1.0
4830,laila agrawal,2,her2 positive breast cancer,1.0
4831,paola cesaro,2,ulcerative colitis,2.0
4832,adriana onaca,2,overweight,2.0
4833,alfred reiter,2,lymphoma,1.0
4834,shire director,2,ulcerative colitis,1.0
4835,philippe aftimos,2,metastatic breast cancer,1.0
4836,judy peih-ying tsai,2,stage iii colon cancer,1.0
4837,loris de cecco,2,cancer of head and neck,1.0
4838,daniele derudas,2,multiple myeloma,2.0
4839,roberto primi,2,out-of-hospital cardiac arrest,2.0
4840,jordan kharofa,2,postneoadjuvant therapy stage iiib esophageal squamous cell carcinoma ajcc v8,1.0
4841,nicola flego,2,d009360,1.0
4842,camilla rigotti,2,bronchopulmonary dysplasia,1.0
4843,ranka despot,2,"colitis, ulcerative",1.0
4844,eell ryoo,2,"colitis, ulcerative",1.0
4845,saadettin kilickap,2,diffuse large b-cell lymphoma,1.0
4846,francesco de leonardis,2,localized osteosarcoma,1.0
4847,stefano rigattieri,2,percutaneous coronary intervention,1.0
4848,yuerong shuang,2,chronic lymphocytic leukemia,2.0
4849,lin,2,parkinson's disease,1.0
4850,ernest nadal,2,nsclc stage iv,1.0
4851,bittoo kanwar,2,chronic hepatitis c infection,1.0
4852,elisa giommoni,2,metastatic pancreatic cancer,1.0
4853,uzair b. chaudhary,2,stage iiib lung cancer ajcc v8,1.0
4854,john h. vu,2,stage iia non-small cell lung carcinoma ajcc v7,1.0
4855,michele de laurentiis,2,metastatic breast cancer,2.0
4856,stefania salvagni,2,squamous cell carcinoma of the head and neck,1.0
4857,maria enza u mitra,2,myelodysplastic syndromes,1.0
4858,francisco javier lopez jimenez,2,refractory diffuse large b-cell lymphoma,1.0
4859,kevin ginn,2,adolescent,1.0
4860,yu yang,2,"lymphoma, mantle-cell",1.0
4861,ankit jain,2,neoplasm metastasis,1.0
4862,juan loy,2,type 2 diabetes,1.0
4863,rory mccrimmon,2,overweight,1.0
4864,giovanna condino,2,ulcerative colitis,2.0
4865,ana echarri piudo,2,ulcerative colitis,2.0
4866,ursula hanusch,2,overweight,2.0
4867,piergiuseppe agostoni,2,cardiopulmonary exercise test,2.0
4868,lucio tremolizzo,2,mild cognitive impairment,1.0
4869,milena nicoloso,2,breast cancer,1.0
4870,m. c. g. stevens,2,sarcoma,2.0
4871,pietro leoni,2,leukemia,1.0
4872,emilio bertani,2,gastro-entero pancreatic neuroendocrine tumors,1.0
4873,francesco mazzotta,2,hiv infection,1.0
4874,lisa abreu,2,hmsn,1.0
4875,lorella melillo,2,candidiasis,1.0
4876,annamaria staiano,2,chronic functional constipation,1.0
4877,maria abbondanza pantaleo,2,breast sarcoma,1.0
4878,annalisa trama,2,nasal cavity and paranasal sinus cancer,1.0
4879,antonio martino,2,anastomotic leak,2.0
4880,ekkehard gruenig,2,pulmonary arterial hypertension,2.0
4881,thomas berg,2,acute-on-chronic liver failure,2.0
4882,chrystal axford,2,advanced solid tumor,1.0
4883,kentaro tamaki,2,her2 positive breast cancer,1.0
4884,alon grossman,2,overweight,1.0
4885,bassel kisso,2,ulcerative colitis,2.0
4886,nafornita valerica,2,overweight,2.0
4887,jose-luis garcia,2,neuroblastoma,2.0
4888,francesca romana mauro,2,chronic lymphocytic leukemia,1.0
4889,james lah,2,dementia,2.0
4890,davood vafai,2,stage iib lung cancer ajcc v8,1.0
4891,eric m. knoche,2,stage ii non-small cell lung cancer ajcc v7,1.0
4892,paolo cimaglia,2,amyloidosis cardiac,1.0
4893,carlos fernandez,2,non-cystic fibrosis bronchiectasis,1.0
4894,eunice wang,2,acute myeloid leukemia,1.0
4895,riccardo marconcini,2,gastro-entero pancreatic neuroendocrine tumors,1.0
4896,bolanle gbadamosi,2,breast inflammatory carcinoma,1.0
4897,ji eun lee,2,metastatic breast cancer,1.0
4898,rosanna montone,2,bladder carcinoma,1.0
4899,teresa paolucci,2,"pain, chronic",2.0
4900,sebastiano buti,2,metastatic renal cell carcinoma,1.0
4901,thilo zander,2,diffuse large b-cell lymphoma,1.0
4902,michał kwiatek,2,"leukemia, b-cell",1.0
4903,marta velasco,2,"colitis, ulcerative",1.0
4904,didier baert,2,crohn disease,1.0
4905,giammarco mocci,2,ulcerative colitis,2.0
4906,tomoki inaba,2,ulcerative colitis,2.0
4907,marco  scioscia,2,histology is a key aspect to detect diseases that were conceiled before surgery,2.0
4908,daniel claassen,2,huntington's disease,2.0
4909,martin vyhnálek,2,friedreich ataxia,1.0
4910,alfons torrego,2,asthma,1.0
4911,rolf stahel,2,non-small cell lung cancer,1.0
4912,nicolaas lumen,2,enzyme inhibitors,1.0
4913,mykola stanislavchuk,2,remission,1.0
4914,cristina mata,2,bone sarcoma,1.0
4915,david e. marinier,2,lung small cell carcinoma,1.0
4916,michael lincoln,2,ventricular tachycardia,1.0
4917,michela marcon,2,ischemic stroke,1.0
4918,piotr wysocki,2,fgfr2 fusions,1.0
4919,malisa agard,2,overweight or obesity,1.0
4920,elisa venturini,2,pdac - pancreatic ductal adenocarcinoma,2.0
4921,lore lapeire,2,all tumor types,1.0
4922,carlo cisari,2,urinary incontinence,1.0
4923,ryoko ihara,2,alzheimers disease,2.0
4924,stefano masiero,2,"knee osteoarthritis, obesity",1.0
4925,medical department,2,schizophrenia,2.0
4926,haruko daga,2,colon cancer,2.0
4927,oliver gautschi,2,medullary thyroid cancer,2.0
4928,giuseppe lopalco,2,behcet syndrome,1.0
4929,mariella d'adda,2,immune thrombocytopenia,1.0
4930,claire harrison,2,myelodysplastic syndromes (mds),1.0
4931,thorsten zenz,2,cll transformation,1.0
4932,vladimir kopeykin,2,crohn's disease (cd),1.0
4933,amar wahid,2,"colitis, ulcerative",1.0
4934,rita pavasini,2,endocarditis,1.0
4935,anwar ahmed,2,multiple system atrophy,1.0
4936,julie busschaert,2,ulcerative colitis,2.0
4937,fabio facchinetti,2,abortion related conditions and complications,1.0
4938,konstanze miehle,2,lipodystrophy congenital,1.0
4939,claudia claroni,2,obese,1.0
4940,shao weng daniel tan,2,colon cancer,2.0
4941,carlo dimario,2,coronary artery disease,1.0
4942,miria natile,2,cell damage,2.0
4943,simone gulletta,2,atrial fibrillation,1.0
4944,faith ihekweazu,2,"colitis, ulcerative",1.0
4945,shaun hussain,2,dravet syndrome (ds),2.0
4946,helen whitford,2,pulmonary arterial hypertension,2.0
4947,pierluigi bonomo,2,locally advanced head and neck squamous cell carcinoma,1.0
4948,serena guiducci,2,hereditary autoinflammatory diseases,1.0
4949,julio rosenstock,2,overweight,1.0
4950,sridhar guduri,2,overweight,2.0
4951,tomohide goto,2,dravet syndrome (ds),2.0
4952,massimo santini,2,bifascicular block,1.0
4953,david j. sher,2,stage iv hypopharyngeal squamous cell carcinoma ajcc v7,1.0
4954,kathleen moore,2,figo stage iii-iv,1.0
4955,andrew j davidson,2,neurotoxicity,1.0
4956,michele guida,2,brain metastases,1.0
4957,elvira grandone,2,venous thromboembolism,1.0
4958,francesco crafa,2,anastomotic leak,2.0
4959,richard c. zellars,2,breast inflammatory carcinoma,1.0
4960,michele motter,2,anastomotic leak,2.0
4961,matteo donadon,2,hepatocellular carcinoma,1.0
4962,michael mccormack,2,stage iii colon cancer,1.0
4963,ernesta e audisio,2,acute myeloid leukemia with flt3/itd mutation,1.0
4964,suad khalil,2,migraine,2.0
4965,denise coral daniel,2,migraine,2.0
4966,dean kereiakes,2,heart failure,1.0
4967,marcelo silva,2,liver cirrhosis,1.0
4968,winfried keuthage,2,overweight,1.0
4969,antonio greco,2,ageing,1.0
4970,hien huynh,2,crohn's disease (cd),1.0
4971,german alvarez,2,ulcerative colitis,2.0
4972,elena ricart gomez,2,ulcerative colitis,2.0
4973,stefano fusco,2,ulcerative colitis,2.0
4974,tomohiko mannami,2,ulcerative colitis,2.0
4975,zsolt horvath,2,breast neoplasms,1.0
4976,ibrahim sahin,2,overweight,2.0
4977,niels reinmuth,2,non small cell lung cancer,1.0
4978,andrea palermo,2,"osteoporosis, postmenopausal",2.0
4979,sergio l. pecorelli,2,endometrial cancer,2.0
4980,arun rajan,2,malignant thymoma,1.0
4981,luigi ricciardiello,2,ulcerative colitis,2.0
4982,riccardo boetto,2,intrahepatic cholangiocarcinoma,1.0
4983,jan kielstein,2,osteomyelitis,1.0
4984,luigi castagna,2,acute hypoxemic respiratory failure,1.0
4985,antonella cotoia,2,microbial colonization,1.0
4986,dennis gable,2,abdominal aortic aneurysm,2.0
4987,michele magnocavallo,2,covid-19,1.0
4988,kamal bouabdallah,2,relapsed diffuse large b-cell lymphoma,1.0
4989,francesco cappelli,2,cardiac amyloidosis,1.0
4990,rafael salguero bodes,2,heart failure,1.0
4991,oliver reuthebuch,2,mitral regurgitation,1.0
4992,parvez mantry,2,fgfr2 fusions,1.0
4993,steven polyak,2,ulcerative colitis,2.0
4994,barry scot horowitz,2,obesity,2.0
4995,raul hernan ceitlin,2,overweight,2.0
4996,david walk,2,hmsn,1.0
4997,cognetti francesco,2,metastatic breast cancer,2.0
4998,michele del vecchio,2,brain metastases,1.0
4999,ruth djaldetti,2,parkinson disease,1.0
5000,matteo piccini,2,acute lymphoblastic leukemia,1.0
5001,daniele mattei,2,aml,1.0
5002,luis de la cruz merino,2,her2-negative breast cancer,1.0
5003,miguel islas-ohlmayer,2,follicular lymphoma,1.0
5004,ryan smith,2,migraine,2.0
5005,james coggi,2,migraine,2.0
5006,lionel leroux,2,aortic valve stenosis,1.0
5007,kenjiro aogi,2,breast neoplasms,1.0
5008,naveen gara,2,celiac disease,1.0
5009,yoon jae kim,2,ulcerative colitis,2.0
5010,judith asanet sanchez hernandez,2,ulcerative colitis,2.0
5011,anda naciu,2,"osteoporosis, postmenopausal",2.0
5012,david kahn,2,non small cell lung cancer,1.0
5013,roberto giacomelli,2,pfapa syndrome,1.0
5014,massimo pandolfo,2,friedreich's ataxia,2.0
5015,tara jones,2,hmsn,1.0
5016,zara skitt,2,huntington's disease,2.0
5017,cristina díaz de heredia,2,acute lymphoblastic leukaemia,1.0
5018,dario conte,2,celiac disease,2.0
5019,marco platania,2,non small cell lung cancer,1.0
5020,massimo iacoviello,2,"heart failure, reduced ejection fraction",1.0
5021,amelia b. zelnak,2,stage iiia breast cancer,1.0
5022,dott.ssa marina chiara garassino,2,non-small cell lung cancer,1.0
5023,giuseppe musumeci,2,hypercholesterolemia,1.0
5024,naamit k. gerber,2,stage i breast cancer,1.0
5025,cristiana forni,2,fever,1.0
5026,jonathan moses,2,"colitis, ulcerative",1.0
5027,fernando bessone,2,acute kidney injury,1.0
5028,alicia rodriguez fernandez,2,small lymphocytic lymphoma,2.0
5029,maurice perol,2,cancer,1.0
5030,madalina butnariu,2,ulcerative colitis,2.0
5031,viraj kariyawasam,2,ulcerative colitis,2.0
5032,rupert leong,2,ulcerative colitis,2.0
5033,morgane amil,2,ulcerative colitis,2.0
5034,hidetoshi takedatsu,2,ulcerative colitis,2.0
5035,hanae takagi,2,ulcerative colitis,2.0
5036,martina sester,2,"monitoring, immunologic",2.0
5037,richard armstrong,2,huntington's disease,2.0
5038,emanuela orsi,2,type 1 diabetes mellitus,1.0
5039,ravit geva,2,urothelial carcinoma,2.0
5040,michael eichbaum,2,her2-negative breast cancer,1.0
5041,boudewijn gunning,2,dravet syndrome (ds),2.0
5042,hua yao,2,pulmonary arterial hypertension,2.0
5043,gioacchino tedeschi,2,amyotrophic lateral sclerosis,1.0
5044,claudio r. majul,2,obesity,2.0
5045,bernard poiesz,2,peripheral t-cell lymphoma,1.0
5046,leonardo m fabbri,2,copd,2.0
5047,maria fernanda lopez fernandez,2,thrombotic thrombocytopenic purpura (ttp),2.0
5048,maria ciccone,2,acute myeloid leukemia,2.0
5049,geetha n. varma,2,pathologic stage ii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
5050,giuseppe carli,2,myeloproliferative neoplasm,1.0
5051,raffaella colombatti,2,sickle cell disease,1.0
5052,kathia abdalla,2,gastric neoplasms,1.0
5053,grace wang,2,abdominal aortic aneurysm >= 5.5 centimeters in male (disorder),1.0
5054,mingming deng,2,ulcerative colitis,2.0
5055,maria laura annunziata,2,ulcerative colitis,2.0
5056,tanja kuehbacher,2,ulcerative colitis,2.0
5057,orlaith kelly,2,ulcerative colitis,2.0
5058,philippe couratier,2,amyotrophic lateral sclerosis,2.0
5059,guillaume cadiot,2,ulcerative colitis,2.0
5060,francisco gerardo padilla padilla,2,overweight,2.0
5061,stephan zuchner,2,charcot marie tooth disease,1.0
5062,clement loy,2,huntington disease,1.0
5063,suman jayadev,2,"alzheimers disease, familial",2.0
5064,umang gautam,2,stage iia non-small cell lung carcinoma ajcc v7,1.0
5065,raymund s. cuevo,2,stage iib lung cancer ajcc v8,1.0
5066,mario venditti,2,central nervous system bacterial infections,1.0
5067,irene lang,2,pulmonary arterial hypertension,2.0
5068,marjan waterloos,2,"anterior urethral stricture, male",1.0
5069,jingming guo,2,small lymphocytic lymphoma,1.0
5070,shova subedi,2,crohn's disease (cd),1.0
5071,maurizio pieroni,2,heart failure,1.0
5072,jianmin liang,2,dravet syndrome (ds),2.0
5073,vlastimila cmejlova,2,metastatic breast cancer,1.0
5074,monique robyn,2,fibrosis,1.0
5075,lydia giannitrapani,2,"cirrhosis, liver",1.0
5076,jason etzel,2,ulcerative colitis,2.0
5077,ignacio zubiaurre,2,ulcerative colitis,2.0
5078,ercole brusamolino,2,lymphoblastic lymphoma,1.0
5079,giordano beretta,2,metastatic or locally advanced breast cancer,1.0
5080,anna chierichini,2,candidiasis,1.0
5081,giovanni barbanti brodano,2,kyphoscoliosis,1.0
5082,eric bravin,2,alk positive,1.0
5083,stefania sorrentino,2,neuroblastoma,1.0
5084,patrizia marsanic,2,anastomotic leak,2.0
5085,freimut schilling,2,rhabdomyosarcoma,1.0
5086,marco vignetti,2,acute lymphoblastic leukemia,1.0
5087,brendan connell,2,previously treated non-small cell lung cancer,1.0
5088,constantine tam,2,small lymphocytic lymphoma,2.0
5089,cristian edgardo botta,2,pulmonary arterial hypertension,2.0
5090,wilson roberto catapani,2,ulcerative colitis,2.0
5091,joseph leonard lillo,2,obesity,2.0
5092,gianni pezzoli,2,progressive supranuclear palsy,1.0
5093,fabrizio oliva,2,advanced chronic heart failure,1.0
5094,suparna mantha,2,kras g12c mutation,1.0
5095,nikolaos katzilakis,2,high-risk neuroblastoma,1.0
5096,bradley torphy,2,migraine,2.0
5097,javier martinez trufero,2,desmoid tumor,1.0
5098,kensuke kojima,2,"lymphoma, mantle-cell",1.0
5099,stefano olmi,2,complication of surgical procedure,1.0
5100,edward j. kim,2,stage iii colon cancer,1.0
5101,anthony otley,2,ulcerative colitis,1.0
5102,alessia castellino,2,follicular lymphoma,1.0
5103,rebecca taub,2,atherosclerosis,1.0
5104,vicente riambau,2,"aortic aneurysm, abdominal",1.0
5105,maria guirado risueno,2,non small cell lung cancer,1.0
5106,shivaani kummar,2,nsclc harboring nrg1 fusion,1.0
5107,misako nagasaka,2,any solid tumor,1.0
5108,francis worden,2,colon cancer,2.0
5109,nelly firmin,2,breast cancer recurrent,1.0
5110,gábor rubovszky,2,breast cancer recurrent,1.0
5111,aqeel a. gillani,2,metastatic lung non-squamous non-small cell carcinoma,1.0
5112,allan block,2,migraine,2.0
5113,olivier chinot,2,medulloblastoma,1.0
5114,jodi lyn zilinski,2,ventricular tachycardia,1.0
5115,mario pirisi,2,recurrent hepatocellular carcinoma,1.0
5116,gry dahle,2,mitral valve regurgitation,1.0
5117,paolo pallini,2,ulcerative colitis,2.0
5118,yong-ho lee,2,obesity,2.0
5119,sutesh sivapalaratnam,2,hemophilia a,2.0
5120,emiliano tognoli,2,post operative pain,1.0
5121,valerio zacà,2,antithrombotic drugs,1.0
5122,apolline monfilliette-djelad,2,medulloblastoma,1.0
5123,brock aaron mcconnehey,2,chronic migraine,1.0
5124,sanjay mehta,2,pulmonary arterial hypertension,2.0
5125,michael halank,2,pulmonary arterial hypertension,2.0
5126,kelly mok,2,metastatic breast cancer,1.0
5127,vivek bhadri,2,neoplasms,1.0
5128,cinta hierro carbo,2,esophageal adenocarcinoma,1.0
5129,victor becerra munoz,2,pulmonary arterial hypertension,2.0
5130,alejandro acevedo gaete,2,her2 positive breast cancer,1.0
5131,patrizia burra,2,vaccination,1.0
5132,deliang liu,2,ulcerative colitis,2.0
5133,chengxia liu,2,ulcerative colitis,2.0
5134,krisztina sarang,2,ulcerative colitis,2.0
5135,eva maria iglesias flores,2,ulcerative colitis,2.0
5136,peter higgins,2,ulcerative colitis,2.0
5137,david oubre,2,breast neoplasms,1.0
5138,michael j oliver,2,obesity,2.0
5139,christopher james,2,graft versus host disease,1.0
5140,simon travis,2,ulcerative colitis,2.0
5141,cristina p. rodriguez,2,stage iv oral cavity squamous cell carcinoma ajcc v6 and v7,1.0
5142,giorgio della rocca,2,acute respiratory distress syndrome,1.0
5143,fabio taccone,2,"ards, human",1.0
5144,jennifer leddon,2,lung non-squamous non-small cell carcinoma,1.0
5145,erika finanger,2,duchenne muscular dystrophy (dmd),1.0
5146,michael stephens,2,"colitis, ulcerative",1.0
5147,rashmi chugh,2,conventional chondrosarcoma,1.0
5148,zeljko krznaric,2,ulcerative colitis,2.0
5149,xiaorong dong,2,neoplasm metastasis,1.0
5150,patrizio giacomini,2,metastatic breast cancer,1.0
5151,isabelle roy,2,myocardial infarction,1.0
5152,michele vitacca,2,copd,1.0
5153,piero ceriana,2,copd,1.0
5154,michele mondoni,2,tuberculosis,1.0
5155,jacob haaber christensen,2,mantle cell lymphoma,1.0
5156,fulvia costantinides,2,anticoagulant-induced bleeding,2.0
5157,matteo de pastena,2,fistula,1.0
5158,matteo giovanni della porta,2,mds (myelodysplastic syndrome),1.0
5159,françois ducray,2,glioblastoma,2.0
5160,judith niederland,2,acute graft versus host disease in intestine,1.0
5161,takateru ishitsu,2,dravet syndrome (ds),2.0
5162,amy rose,2,metastatic uveal melanoma,1.0
5163,frederik marme,2,breast cancer,1.0
5164,sang bum kang,2,ulcerative colitis,2.0
5165,cuper martinez,2,obesity,2.0
5166,jiri vesely,2,obesity,1.0
5167,andrea cornini,2,cesarean section,2.0
5168,dino sgarabotto,2,liver failure,1.0
5169,francesco cavazzini,2,pregnancy,1.0
5170,jennifer m. johnson,2,pathologic stage ii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
5171,tommaso m. de pas,2,breast sarcoma,1.0
5172,olena levchenko,2,remission,1.0
5173,bethany m. anderson,2,stage i breast cancer,1.0
5174,jami a. fukui,2,stage i breast cancer,1.0
5175,christelle levy,2,her2 positive breast cancer,1.0
5176,stefania zovato,2,brca mutation,1.0
5177,matthew gilruth davis,2,migraine,1.0
5178,alessandra papa,2,complication of surgical procedure,2.0
5179,alessandra longhi,2,osteosarcoma,2.0
5180,amer zeidan,2,myelodysplastic syndromes,2.0
5181,rohit loomba,2,alpha1-antitrypsin deficiency,1.0
5182,sonia kupfer,2,colorectal cancer,1.0
5183,nicola scichilone,2,severe covid-19,1.0
5184,odery ramos junior,2,ulcerative colitis,2.0
5185,chi-feng chung,2,metastatic breast cancer,1.0
5186,elena tsourdi,2,"osteoporosis, postmenopausal",2.0
5187,robin foà,2,"acute lymphoblastic leukemia, pediatric",1.0
5188,klaus arbeiter,2,peritoneal dialysis complication,1.0
5189,eduardo nobile-orazio,2,chronic inflammatory demyelinating polyradiculoneuropathy,2.0
5190,francesca montagnani,2,pneumococcal infections,1.0
5191,mara chiaro,2,aortic stenosis,1.0
5192,luis paz-ares rodriguez,2,cancer,1.0
5193,petros nikolinakos,2,medullary thyroid cancer,1.0
5194,enrico franceschi,2,glioblastoma,1.0
5195,rebecca pedersini,2,her2-negative breast cancer,1.0
5196,chiyi he,2,ulcerative colitis,2.0
5197,glen doherty,2,ulcerative colitis,2.0
5198,enrico aitini,2,locally advanced pancreatic cancer,1.0
5199,jagmeet singh,2,heart failure,2.0
5200,ruggiero francavilla,2,clinical and nutritional safety.,1.0
5201,guido palamara,2,hiv infections,1.0
5202,marianne j hjermstad,2,cancer,2.0
5203,guido parodi,2,st elevation myocardial infarction,1.0
5204,bruce robinson,2,medullary thyroid cancer,2.0
5205,steven j. rubin,2,prostate adenocarcinoma,1.0
5206,giuseppe malleo,2,pancreatic malignant neoplasm primary,1.0
5207,anna tarocco,2,cell damage,2.0
5208,bradley t. clifford,2,pathologic stage iii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
5209,jessica d. mcdermott,2,limited stage lung small cell carcinoma,1.0
5210,martin emert,2,ventricular tachycardia,1.0
5211,jacopo lanari,2,intrahepatic cholangiocarcinoma,1.0
5212,amalia drobeta thury-burileanu,2,obesity,1.0
5213,katherine smith,2,ulcerative colitis,2.0
5214,eduardo brambilla,2,ulcerative colitis,2.0
5215,alexandros kokkinos,2,overweight,2.0
5216,adalberto ibatici,2,cutaneous t cell lymphoma,1.0
5217,tiziana rancati,2,prostate cancer,2.0
5218,christine devalck,2,sarcoma,1.0
5219,leandro provinciali,2,epileptic seizures,1.0
5220,amine bensmaine,2,multiple myeloma,2.0
5221,mark v. mishra,2,oligodendroglioma,1.0
5222,marco vicenzi,2,pulmonary arterial hypertension,1.0
5223,nicola santoro,2,high-risk neuroblastoma,1.0
5224,alessia tieghi,2,acute myeloid leukemia,1.0
5225,radhakrishnan ramchandren,2,relapsed/refractory follicular lymphoma,1.0
5226,angela ferrari,2,refractory leukemia,1.0
5227,theodore takata,2,ventricular tachycardia,1.0
5228,sara ornaghi,2,"placenta, hemorrhage, complicating delivery",1.0
5229,mohan kesani,2,atherosclerotic cardiovascular disease,1.0
5230,ludovic meunier,2,coronary artery disease,2.0
5231,thomas ettrich,2,gastroesophageal adenocarcinoma,1.0
5232,craig underhill,2,gastric neoplasms,1.0
5233,juan jesus rodriguez uranga,2,dravet syndrome (ds),2.0
5234,stefano del prato,2,prediabetes,1.0
5235,finlay macrae,2,ulcerative colitis,2.0
5236,haider afzal,2,ulcerative colitis,2.0
5237,mauro cellini,2,macular oedema,1.0
5238,peter dreger,2,secondary acute myeloid leukemia,1.0
5239,erin koppel,2,huntington's disease,2.0
5240,justine yang-bruce,2,stage iib lung cancer ajcc v8,1.0
5241,kalika p. sarma,2,breast inflammatory carcinoma,1.0
5242,graziano ceccarelli,2,surgery,1.0
5243,richy agajanian,2,"leukemia, b-cell",1.0
5244,bulent erdogan,2,solid tumors,1.0
5245,ciro costagliola,2,macular holes,1.0
5246,lorenzo berra,2,coronavirus,1.0
5247,frederique paulus,2,quality of breathing,1.0
5248,janice walshe,2,breast neoplasms,1.0
5249,begona perez valderrama,2,prostatic neoplasms,1.0
5250,thierry jacquemin,2,ulcerative colitis,2.0
5251,radu-bogdan mateescu,2,ulcerative colitis,2.0
5252,seth wander,2,breast neoplasms,1.0
5253,paola franzoso,2,prostatic neoplasm,1.0
5254,marco matucci,2,skin fibrosis,2.0
5255,milan lukas,2,ulcerative colitis,2.0
5256,ana oliveira,2,parkinson's disease,1.0
5257,filippo ottani,2,myocardial infarction,1.0
5258,elisabetta costantini,2,recurrent urinary tract infections,1.0
5259,markus möhlenbruch,2,ischemic stroke,1.0
5260,cristina mussini,2,nontuberculous mycobacteria,1.0
5261,tina lin,2,respiratory tract disease,1.0
5262,weimin xie,2,her2-positive breast cancer,1.0
5263,guglielmo manenti,2,prostate cancer,1.0
5264,nuno dias,2,thoracic aortic aneurysm,1.0
5265,pedro serrano,2,dravet syndrome (ds),2.0
5266,christal murray,2,chronic lymphocytic leukemia,1.0
5267,janowski,2,multiple myeloma,2.0
5268,michael poiesz,2,colorectal neoplasms,1.0
5269,chanh huynh,2,non small cell lung cancer,1.0
5270,margarita barrientos,2,glucose metabolism disorders,1.0
5271,ipsen medical,2,primary sclerosing cholangitis,1.0
5272,william nixon,2,ulcerative colitis,2.0
5273,ajit sood,2,ulcerative colitis,2.0
5274,jenny liu,2,obesity,2.0
5275,thomas reiberger,2,surgery--complications,1.0
5276,enrico lodo,2,recurrence tumor,1.0
5277,ilaria de domenici,2,analgesia,1.0
5278,chady a. leon,2,clinical stage iv cutaneous melanoma ajcc v8,1.0
5279,vincenzo minotti,2,squamous-cell lung cancer,1.0
5280,margaret macy,2,neoplasms,1.0
5281,pablo luis ortiz romero,2,malignant adnexal tumors of the skin (mats),1.0
5282,michael meshad,2,follicular lymphoma,1.0
5283,christopher chay,2,breast neoplasms,1.0
5284,sujun gao,2,myelofibrosis,1.0
5285,retino rosario,2,migraine,2.0
5286,omkar hajirnis,2,migraine,2.0
5287,antoine dompnier,2,heart failure,1.0
5288,ennio carmine luigi pisanò,2,ventricular tachycardia,1.0
5289,qun hu,2,ph+ mixed phenotype acute leukemia (mpal),1.0
5290,bolognani,2,short bowel syndrome,2.0
5291,thomas walther,2,mitral regurgitation,1.0
5292,valentina de giorgis,2,dravet syndrome (ds),2.0
5293,tudor ciuleanu,2,palliative care,1.0
5294,bhaktasharan patel,2,ulcerative colitis,2.0
5295,avinash balekuduru,2,ulcerative colitis,2.0
5296,toshihiko kakiuchi,2,crohn's disease,1.0
5297,devrim cabuk,2,breast neoplasms,1.0
5298,antonella toffolo,2,urinary tract infections,2.0
5299,issam makhoul,2,stage iiia breast cancer,1.0
5300,saleh lamin,2,intracranial aneurysm,2.0
5301,guillermo garcia-manero,2,acute myeloid leukemia,1.0
5302,elena galve calvo,2,breast neoplasms,1.0
5303,michela spreafico,2,non small cell lung cancer,1.0
5304,katell le du,2,multiple myeloma,1.0
