,Condition,Average Attention Score
1264,Stage III Anal Cancer AJCC v8,14.0
1265,Chronic Myelomonocytic Leukemia-1,14.0
1266,Low Cardiac Output Syndrome,14.0
1267,Chronic Myelomonocytic Leukemia-2,14.0
1268,Uterine Neoplasms,14.0
1269,Breast Cancer Stage I,14.0
1270,Biliary Tract Neoplasms,14.0
1271,Heterozygous Familial Hypercholesterolemia,14.0
1272,Small Cell Lung Cancer (SCLC),14.0
1273,"Neoplasm, Colorectal",14.0
1274,Coronary Artery Bypass Grafting,14.0
1275,Stage IVA Oropharyngeal Squamous Cell Carcinoma,14.0
1276,Decompensated Cirrhosis and Ascites,14.0
1277,Transcatheter Aortic Valve Replacement,14.0
1278,Metastatic gpNMB Over-expressing Triple Negative Breast Cancer,14.0
1279,Stage IVB Oropharyngeal Squamous Cell Carcinoma,14.0
1280,RHABDOMYOSARCOMA,14.0
1281,"Artery Disease, Peripheral",14.0
1282,Myelodysplastic Syndrome With Excess Blasts,14.0
1283,Stage IVB Prostate Cancer AJCC v8,14.0
1284,Ventricular Fibrillation,14.0
1285,Essential Thrombocythemia,14.0
1286,Stage IIB Anal Cancer AJCC v8,14.0
1287,ROS1 Gene Mutation,14.0
1288,Hyperlipidemia,14.0
1289,Stage IVC Oropharyngeal Squamous Cell Carcinoma,14.0
1290,Myelodysplastic Syndrome/Acute Myeloid Leukemia,14.0
1291,Toxicity,14.0
1292,Chronic Heart Failure With Preserved Ejection Fraction,14.0
1293,Heart Valve Diseases,14.0
1294,Oligometastatic Prostate Carcinoma,14.0
1295,"Diabetes Mellitus, Type 2",13.833333333333334
1296,Aortic Valve Stenosis,13.714285714285714
1297,Type2 Diabetes,13.5
1298,Recurrent Lung Non-Squamous Non-Small Cell Carcinoma,13.333333333333334
1299,Severe Acute Respiratory Syndrome Coronavirus 2,13.333333333333334
1300,STEMI,13.0
1301,Obstructive Sleep Apnea,13.0
1302,Transfusion-dependent Alpha-Thalassemia,13.0
1303,Prostate Adenocarcinoma,13.0
1304,Persistent Cough in IPF,13.0
1305,Nonsquamous Non-small Cell Lung Cancer,13.0
1306,Non-Small-Cell Lung,13.0
1307,Cow's Milk Protein Allergy,13.0
1308,Transfusion-dependent Beta-Thalassemia,13.0
1309,EGFR Exon 19 Deletion,13.0
1310,Disease,13.0
1311,Stage IV Prostate Adenocarcinoma,13.0
1312,Platinum-resistant Ovarian Cancer,13.0
1313,Epilepsy in Children,13.0
1314,Hypertrophic Cardiomyopathy,13.0
1315,Prader-Willi Syndrome,13.0
1316,Epileptic Syndromes,13.0
1317,Solid Tumor Malignancy,13.0
1318,Focal Epilepsy,13.0
1319,Hyperphagia,13.0
1320,Seizure,13.0
1321,Breast Adenocarcinoma,13.0
1322,Excessive Daytime Sleepiness,13.0
1323,EGFR L858R,13.0
1324,PSA Progression,13.0
1325,Metastatic Lung Non-Squamous Non-Small Cell Carcinoma,13.0
1326,Conventional Chondrosarcoma,13.0
1327,Non Squamous Lung Cancer,13.0
1328,Metastatic or Unresectable Cutaneous Melanoma,13.0
1329,Impaired Cognitive Function,13.0
1330,Geographic Atrophy,12.833333333333334
1331,Venous Thromboembolism,12.75
1332,Hepatocellular Carcinoma,12.571428571428571
1333,Metabolic Disease,12.5
1334,Thrombocytopenia,12.5
1335,Renal Insufficiency,12.5
1336,Bleeding Disorder,12.5
1337,Chronic Hepatitis B,12.333333333333334
1338,Coronavirus Infections,12.333333333333334
1339,Stage IVB Lung Cancer AJCC v8,12.333333333333334
1340,Stage IVA Lung Cancer AJCC v8,12.333333333333334
1341,Ischemic Stroke,12.333333333333334
1342,Lung Cancer,12.25
1343,Advanced Upper Gastrointestinal Tract Adenocarcinoma,12.0
1344,"Gaucher Disease, Type 1",12.0
1345,First Line Non-Small Cell Lung Cancer,12.0
1346,Blood Pressure,12.0
1347,Nonsquamous Nonsmall Cell Neoplasm of Lung,12.0
1348,Urinary Tract Cancer,12.0
1349,Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease (MOGAD),12.0
1350,Metastatic Cutaneous Melanoma,12.0
1351,Stage II Lung Non-Small Cell Cancer AJCC v7,12.0
1352,Metastatic Mucosal Melanoma,12.0
1353,Thymoma Type B3,12.0
1354,Tumor,12.0
1355,Trigeminal Neuralgia,12.0
1356,Lung Adenocarcinoma,12.0
1357,Amyotrophic Lateral Sclerosis (ALS),12.0
1358,GBA Gene Mutation,12.0
1359,Metastatic Thymic Carcinoma,12.0
1360,Stage IB Lung Non-Small Cell Carcinoma AJCC v7,11.666666666666666
1361,Stage IIIA Lung Non-Small Cell Cancer AJCC v7,11.666666666666666
1362,Recurrent Lung Non-Small Cell Carcinoma,11.5
1363,Acute Myelogenous Leukemia,11.5
1364,Deep Venous Thrombosis,11.333333333333334
1365,Diabetes,11.333333333333334
1366,EBV+ Lymphoproliferative Disease With Primary Immunodeficiency (EBV+ PID LPD),11.0
1367,Cancer of Head and Neck,11.0
1368,Huntington Disease,11.0
1369,Chronic Spontaneous Urticaria,11.0
1370,Malignant Solid Tumor,11.0
1371,Overweight,11.0
1372,EBV+ Lymphoproliferative Disease With Acquired (Non-congenital) Immunodeficiency (EBV+ AID LPD),11.0
1373,Active Non-segmental Vitiligo,11.0
1374,Congestive Heart Failure,11.0
1375,Mitochondrial Diseases,11.0
1376,"Relapsed, Diffuse Large B-cell Lymphoma",11.0
1377,Adverse Drug Reaction,11.0
1378,EBV+ Posttransplant Lymphoproliferative Disease in Central Nervous System (EBV+ CNS PTLD),11.0
1379,Behavioral Variant Frontotemporal Dementia (bvFTD),11.0
1380,Intracerebral Hemorrhage,11.0
1381,Metastatic Malignant Neoplasm in the Brain,11.0
1382,Anal Margin Squamous Cell Carcinoma,11.0
1383,Lamin A/C Gene Mutation,11.0
1384,Relapsed Small Cell Lung Cancer,11.0
1385,Anal Canal Cloacogenic Carcinoma,11.0
1386,Pancreatic Ductal Adenocarcinoma (PDAC),11.0
1387,Known or Suspected Focal Liver Lesions and Severe Renal Impairment,11.0
1388,Solid Tumor,11.0
1389,Soft Tissue Sarcoma of the Extremity,11.0
1390,Ventricular Flutter,11.0
1391,Pneumococcal Disease,11.0
1392,Retroperitoneal Sarcoma,11.0
1393,Epstein-Barr Virus (EBV)-Associated Diseases,11.0
1394,EBV+ Sarcomas,11.0
1395,EBV+ Post-transplant Lymphoproliferative Disease (EBV+ PTLD),11.0
1396,Head and Neck Squamous Cell Carcinoma (HNSCC),11.0
1397,Urologic Neoplasms,11.0
1398,Primary CNS Tumors,11.0
1399,Advanced and Metastatic Cancer Patients With Tumors Harboring FGF/FGFR Tumors,11.0
1400,Burns,11.0
1401,PD-L1 Negative,11.0
1402,Peripheral Arterial Disease,10.666666666666666
1403,Migraine,10.5
1404,Autosomal Dominant Polycystic Kidney Disease,10.5
1405,"Lupus Erythematosus, Systemic",10.5
1406,Sarcoma,10.5
1407,Acute Coronary Syndrome,10.5
1408,Syncope,10.5
1409,"Glomerulonephritis, Membranous",10.5
1410,Hepatitis C Virus Infection,10.5
1411,Cancer,10.466666666666667
1412,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,10.0
1413,Soft-Tissue Sarcoma,10.0
1414,Prognostic Stage IIIB Breast Cancer AJCC v8,10.0
1415,Anatomic Stage IIIB Breast Cancer AJCC v8,10.0
1416,ALK-Positive Anaplastic Large Cell Lymphoma,10.0
1417,Arginase I Deficiency,10.0
1418,Locally Advanced and/or Metastatic Anaplastic Large Cell Lymphoma,10.0
1419,Anatomic Stage I Breast Cancer AJCC v8,10.0
1420,Anatomic Stage IIA Breast Cancer AJCC v8,10.0
1421,Open Angle Glaucoma,10.0
1422,Relapsed/Refractory Non-Hodgkin Lymphoma,10.0
1423,Prognostic Stage III Breast Cancer AJCC v8,10.0
1424,Stage IIIA Non-Small Cell Lung Cancer AJCC v7,10.0
1425,"Extranodal NK/T-cell Lymphoma, Nasal Type",10.0
1426,HIV Infection,10.0
1427,Cataract,10.0
1428,Locally Advanced and/or Metastatic Clear Cell Sarcoma,10.0
1429,Adult Nasal Type Extranodal NK/T-cell Lymphoma,10.0
1430,PTCL,10.0
1431,Primary Progressive Multiple Sclerosis,10.0
1432,HER2 Mutation,10.0
1433,Peripheral T Cell Lymphoma,10.0
1434,ALK-negative Anaplastic Large Cell Lymphoma,10.0
1435,"Anaplastic Large Cell Lymphoma, ALK-negative",10.0
1436,Anatomic Stage II Breast Cancer AJCC v8,10.0
1437,Anatomic Stage IA Breast Cancer AJCC v8,10.0
1438,Hidradenitis Suppurativa (HS),10.0
1439,Glycogen Storage Disease Type II,10.0
1440,Alveolar Soft Part Sarcoma,10.0
1441,Glomerulosclerosis,10.0
1442,Percutaneous Coronary Intervention,10.0
1443,Wegener Granulomatosis,10.0
1444,ALK Gene Rearrangement,10.0
1445,Anaplastic Large Cell Lymphoma,10.0
1446,Relapsed/Refractory Waldenstrom Macroglobulinemia,10.0
1447,"Peripheral T-Cell Lymphoma, Not Otherwise Specified",10.0
1448,Locally Advanced and/or Metastatic Alveolar Soft Part Sarcoma,10.0
1449,Coronary Artery Disease (CAD),10.0
1450,Anatomic Stage IIIA Breast Cancer AJCC v8,10.0
1451,Prognostic Stage IIIA Breast Cancer AJCC v8,10.0
1452,Arthritis,10.0
1453,Heart Failure NYHA Class III and Ambulatory IV,10.0
1454,Angioimmunoblastic T-Cell Lymphoma Refractory,10.0
1455,Episodic Cluster Headache,10.0
1456,Stage IB Non-Small Cell Lung Carcinoma AJCC v7,10.0
1457,Gastroesophageal Junction Carcinoma (GEJC),10.0
1458,Corona Virus Disease 19 (COVID-19),10.0
1459,Lymphoplasmacytic Lymphoma,10.0
1460,IPF,10.0
1461,Autoimmune Diseases,10.0
1462,Stage IIB Non-Small Cell Lung Carcinoma AJCC v7,10.0
1463,Peripheral T-cell Lymphoma NOS,10.0
1464,FSGS,10.0
1465,Angioimmunoblastic T-cell Lymphoma,10.0
1466,Meniere Disease,10.0
1467,ALK Gene Translocation,10.0
1468,Anatomic Stage IB Breast Cancer AJCC v8,10.0
1469,Hyperargininemia,10.0
1470,Prognostic Stage IIB Breast Cancer AJCC v8,10.0
1471,Cytopenia,10.0
1472,Esophageal Adenocarcinoma (EAC),10.0
1473,Advanced Non-small Cell Lung Cancer,10.0
1474,Cutaneous Squamous Cell Carcinoma,10.0
1475,Prognostic Stage II Breast Cancer AJCC v8,10.0
1476,Extranodal NK/T-cell Lymphoma,10.0
1477,Hematological Diseases,10.0
1478,Relapsed/Refractory Diffuse Large B-cell Lymphoma,10.0
1479,"Leukemia, Lymphocytic",10.0
1480,Post-essential Thrombocythemia Myelofibrosis (PET-MF),10.0
1481,Non-Transfusion-dependent Alpha-Thalassemia,10.0
1482,EGFR Mutation,10.0
1483,Peripheral T-Cell Lymphoma Refractory,10.0
1484,Anatomic Stage III Breast Cancer AJCC v8,10.0
1485,Prognostic Stage IIIC Breast Cancer AJCC v8,10.0
1486,"Carcinoma, Squamous Cell",10.0
1487,Stage III Prostate Adenocarcinoma,10.0
1488,SARS-COv2 Related Interstitial Pneumonia,10.0
1489,Metastatic Castrate Resistant Prostate Cancer,10.0
1490,Cutaneous T-cell Lymphoma,10.0
1491,Non-Transfusion-dependent Beta-Thalassemia,10.0
1492,"Anaplastic Large Cell Lymphoma, ALK-Positive",10.0
1493,"Leukemia, B-cell",10.0
1494,Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS),10.0
1495,Heart Failure With Left Bundle Branch Block,10.0
1496,Relapsed/Refractory Hairy Cell Leukemia,10.0
1497,Solid Neoplasm,10.0
1498,Joint Diseases,10.0
1499,Angina Pectoris,10.0
1500,Hemorrhagic Stroke,10.0
1501,"Respiratory Distress Syndrome, Adult",10.0
1502,ALK Positive,10.0
1503,Anatomic Stage IIIC Breast Cancer AJCC v8,10.0
1504,Prognostic Stage IA Breast Cancer AJCC v8,10.0
1505,Relapsed/Refractory Richter Transformation,10.0
1506,Extranodal NK T Cell Lymphoma,10.0
1507,Rheumatic Diseases,10.0
1508,Stage IIA Non-Small Cell Lung Carcinoma AJCC v7,10.0
1509,Angioimmunoblastic T-Cell Lymphoma Recurrent,10.0
1510,Locally Advanced and/or Metastatic Papillary Renal Cell Carcinoma Type 1,10.0
1511,Locally Advanced and/or Metastatic Alveolar Rhabdomyosarcoma,10.0
1512,Stage II Non-Small Cell Lung Cancer AJCC v7,10.0
1513,"Extranodal NK T Cell Lymphoma, Nasal",10.0
1514,Non-Hodgkins Lymphoma,10.0
1515,Prognostic Stage IB Breast Cancer AJCC v8,10.0
1516,Prognostic Stage IIA Breast Cancer AJCC v8,10.0
1517,Anatomic Stage IIB Breast Cancer AJCC v8,10.0
1518,Strongyloidiasis,10.0
1519,Relapsed/Refractory Burkitt Lymphoma,10.0
1520,Coronary Artery Lesion,10.0
1521,Advanced Non-Small Cell Lung Cancer,10.0
1522,Uterine Cervical Neoplasms,10.0
1523,Locally Advanced and/or Metastatic Inflammatory Myofibroblastic Tumor,10.0
1524,Post-polycythemia Vera Myelofibrosis (PPV-MF),10.0
1525,Microscopic Polyangiitis,10.0
1526,Prognostic Stage I Breast Cancer AJCC v8,10.0
1527,Coagulation Disorder,9.666666666666666
1528,Metastatic Renal Cell Carcinoma,9.6
1529,Acromegaly,9.4
1530,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,9.333333333333334
1531,Neuromuscular Diseases,9.333333333333334
1532,Colorectal Cancer Metastatic,9.285714285714286
1533,Epilepsy,9.2
1534,Graft Versus Host Disease,9.0
1535,"Niemann-Pick Disease, Type C1",9.0
1536,Ambulatory Care,9.0
1537,"Kidney Disease, Chronic",9.0
1538,HBeAg-positive Chronic Hepatitis B,9.0
1539,Irritable Bowel Syndrome,9.0
1540,Clinical Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8,9.0
1541,Overactive Bladder,9.0
1542,"Kidney Failure, Chronic",9.0
1543,Guillain-Barré Syndrome,9.0
1544,Miller Fisher Syndrome,9.0
1545,Dyspnea,9.0
1546,Pathologic Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8,9.0
1547,Hodgkin's Disease,9.0
1548,Relapsed Follicular Lymphoma,9.0
1549,Dilated Cardiomyopathy,9.0
1550,"Arthritis, Rheumatoid",9.0
1551,Lymphoid Leukemia,9.0
1552,Multiple Sclerosis (MS),9.0
1553,"Hypertension, Pulmonary",8.8
1554,Endometrial Cancer,8.75
1555,HER2-negative Breast Cancer,8.666666666666666
1556,Tuberous Sclerosis Complex,8.666666666666666
1557,Metabolic Syndrome,8.5
1558,Stage I Prostate Adenocarcinoma,8.5
1559,Ocular Hypertension,8.5
1560,Stage II Prostate Adenocarcinoma,8.5
1561,Traumatic Brain Injury,8.333333333333334
1562,"Pneumonia, Viral",8.2
1563,Gastric Adenocarcinoma,8.2
1564,Breast Inflammatory Carcinoma,8.0
1565,Infarction,8.0
1566,Necrosis,8.0
1567,Anal Canal Squamous Cell Carcinoma,8.0
1568,Stage IIA Anal Cancer AJCC v8,8.0
1569,Clear Cell Renal Cell Carcinoma,8.0
1570,Heart Disease,8.0
1571,Unresectable HER2-Positive Breast Carcinoma,8.0
1572,Post-essential Thrombocythemia Myelofibrosis (Post-ET MF),8.0
1573,"Candidiasis, Invasive",8.0
1574,Mitral Regurgitation,8.0
1575,Other Cancer,8.0
1576,Chronic Low-back Pain,8.0
1577,Recurrent Anaplastic Astrocytoma,8.0
1578,NMDAR Autoimmune Encephalitis,8.0
1579,Stage I Anal Cancer AJCC v8,8.0
1580,Hodgkin Lymphoma,8.0
1581,Metastatic Breast Adenocarcinoma,8.0
1582,Colorectal Resection,8.0
1583,RSV Infection,8.0
1584,Urinary Tract Neoplasms,8.0
1585,NSTEMI,8.0
1586,"Charcot-Marie-Tooth Disease, Type Ia (Disorder)",8.0
1587,Metastatic Bladder Cancer,8.0
1588,Recurrent HER2-Positive Breast Carcinoma,8.0
1589,Thrombosis Pulmonary,8.0
1590,Gastrointestinal Cancer,8.0
1591,Airway Management,8.0
1592,Endocrine Sensitive HER2+/HR+ Breast Cancer,8.0
1593,Metastatic HER2-Positive Breast Carcinoma,8.0
1594,Recurrent Breast Adenocarcinoma,8.0
1595,Anal Basaloid Carcinoma,8.0
1596,Elective Colonoscopy,8.0
1597,Post-polio Syndrome,8.0
1598,Post-polycythemia Vera Myelofibrosis (Post-PV MF),8.0
1599,ST Elevation Myocardial Infarction,8.0
1600,HMSN,8.0
1601,Brain Injuries,8.0
1602,Unresectable Breast Carcinoma,8.0
1603,LGI1 Autoimmune Encephalitis,8.0
1604,Intervertebral Disc Degeneration,8.0
1605,GIST With D842V Mutated PDGFRA Gene,8.0
1606,Neuroblastoma,7.833333333333333
1607,Merkel Cell Carcinoma,7.666666666666667
1608,Nervous System Diseases,7.666666666666667
1609,Ovarian Neoplasms,7.666666666666667
1610,Renal Cell Carcinoma (RCC),7.5
1611,Pulmonary Embolism,7.4
1612,Coronavirus Infection,7.333333333333333
1613,Myeloproliferative Neoplasm,7.333333333333333
1614,Invasive Fungal Infection,7.0
1615,AGVHD,7.0
1616,Narcolepsy Type 1 (NT 1),7.0
1617,Cushing's Syndrome,7.0
1618,Alpha1-Antitrypsin Deficiency,7.0
1619,Lung Cancer Metastatic,7.0
1620,Nausea,7.0
1621,Charcot Marie Tooth Disease,7.0
1622,Biliary Stricture,7.0
1623,Diffuse Large B-cells Non-Hodgkin Lymphoma,7.0
1624,Epstein-Barr Virus Infections,7.0
1625,Muscle Spasticity,7.0
1626,Cardiac Allograft Vasculopathy,7.0
1627,Diffuse Cutaneous Systemic Sclerosis,7.0
1628,Ischaemic Heart Disease,7.0
1629,Delirium,7.0
1630,Diaphragmatic Hernia,7.0
1631,Congenital Diaphragmatic Hernia,7.0
1632,Acute GVHD,7.0
1633,Stage IIB Lung Non-Small Cell Carcinoma AJCC v7,7.0
1634,Steroid Refractory Acute Graft Versus Host Disease,7.0
1635,Chronic Lymphocytic Leukemia (CLL),7.0
1636,Ischemic Heart Disease,7.0
1637,Adverse Reaction to Antiplatelet Agent,7.0
1638,Bronchiectasis,7.0
1639,MANTLE CELL LYMPHOMA,7.0
1640,Locally Advanced Squamous Cell Carcinoma of the Head and Neck (SCCHN),7.0
1641,BRCA or HRR+ Mutated Ovarian Cancer Patients,7.0
1642,Graves' Ophthalmopathy (GO),7.0
1643,Brain and Central Nervous System Tumors,7.0
1644,Malignant Mesothelioma,7.0
1645,Stage IV Renal Cell Cancer AJCC v8,7.0
1646,"Glaucoma, Open-Angle",7.0
1647,Myelodysplastic Syndromes (MDS),7.0
1648,AOSD,7.0
1649,Hepatocellular Carcinoma Surveillance,7.0
1650,Aspergillosis,7.0
1651,Prostate Cancer Metastatic,7.0
1652,SSM,7.0
1653,Stage IIA Lung Non-Small Cell Carcinoma AJCC v7,7.0
1654,Axial Spondyloarthritis,7.0
1655,ALK+ Advanced NSCLC,7.0
1656,Diffuse Large B-cell Lymphoma Recurrent,7.0
1657,Adult Glioblastoma,7.0
1658,Fallopian Tube Serous Adenocarcinoma,7.0
1659,Mastocytosis,7.0
1660,Adenovirus Infection,7.0
1661,"Scleroderma, Diffuse",7.0
1662,Fallopian Tube Neoplasms,7.0
1663,"Brain Tumor, Primary",7.0
1664,"Carcinoma, Ovarian Epithelial",7.0
1665,Mantle-Cell Lymphoma,7.0
1666,Acute Coronary Syndromes,7.0
1667,Non-squamous Non-small Cell Lung Cancer,7.0
1668,Osteogenesis Imperfecta (OI),7.0
1669,"Mastocytosis, Indolent",7.0
1670,Chronic Adrenal Insufficiency,7.0
1671,Philadelphia-Positive ALL,7.0
1672,Congenital Diseases,7.0
1673,JC Virus Infection,7.0
1674,"ALL, Adult",7.0
1675,Severe Aplastic Anemia,7.0
1676,Collecting Duct Carcinoma (Kidney),7.0
1677,SJIA,7.0
1678,Classical Hodgkin Lymphoma,7.0
1679,Ovarian Serous Adenocarcinoma,7.0
1680,Secondary Hemophagocytic Lymphohistiocytosis,7.0
1681,Fibrosis,7.0
1682,Plasminogen Deficiency,7.0
1683,Adult Gliosarcoma,7.0
1684,Connective Tissue Diseases,7.0
1685,Adult Giant Cell Glioblastoma,7.0
1686,Pulmonary Hypoplasia,7.0
1687,Transthyretin Gene Mutations,7.0
1688,Pediatrics,7.0
1689,Peritoneal Carcinoma,7.0
1690,Fallopian Tube Adenocarcinoma,7.0
1691,Mucopolysaccharidosis II,7.0
1692,"Aortic Aneurysm, Abdominal",7.0
1693,Locally Advanced Unresectable Gastric Cancer,7.0
1694,"Lymphoblastic Leukemia, Acute, Childhood",7.0
1695,Adenocarcinoma of the Gastroesophageal Junction,7.0
1696,Spinal Muscular Atrophy (SMA),7.0
1697,Mycosis Fungoides and Sézary Syndrome,7.0
1698,Stage III Renal Cell Cancer AJCC v8,7.0
1699,Paediatric Patients Affected by Haematological Malignancies and Eligible to Undergo HSCT From an Unrelated Volunteer,7.0
1700,GVHD,7.0
1701,Desmoplastic Small Round Cell Tumor,7.0
1702,MAS,7.0
1703,Ascites,7.0
1704,Fetal Surgery,7.0
1705,Migraine Disorders,7.0
1706,Paget Disease,7.0
1707,Advanced Gastrointestinal Stromal Tumors,7.0
1708,Plaque Psoriasis,7.0
1709,Adenocarcinoma of the Stomach,7.0
1710,Acute Lymphoblastic Leukaemia,7.0
1711,Follicular Non-Hodgkin's Lymphoma,7.0
1712,FGFR 1 High Amplification,7.0
1713,Macrophage Activation Syndrome,7.0
1714,Metastatic Gastric Cancer,7.0
1715,"Mastocytosis, Systemic",7.0
1716,Familial Amyloidosis,7.0
1717,Salivary Gland Cancer,7.0
1718,Primary Hemophagocytic Lymphohistiocytosis,7.0
1719,Advanced LKB1-inactive Lung Adenocarcinoma,7.0
1720,Vascular Function,7.0
1721,Localized High-risk Soft Tissue Sarcomas of the Extremities and Trunk Wall in Adults,7.0
1722,Oligometastatic Cancer,7.0
1723,Multiple Pathologies,7.0
1724,Peritoneal Mesothelioma,7.0
1725,Advanced Hepatocellular Carcinoma,7.0
1726,Pleural Mesothelioma,7.0
1727,Stage IB-IIB Cutaneous T-Cell Lymphoma,7.0
1728,Cerebral Palsy,7.0
1729,Transcatheter Aortic Valve Implantation (TAVI),7.0
1730,ATTR-PN,7.0
1731,HSV Infection,7.0
1732,Unresectable Renal Cell Carcinoma,7.0
1733,Human Herpes Virus-6 Infection,7.0
1734,Acute Lymphoblastic Leukemia (Philadelphia Chromosome Positive),7.0
1735,Septic Shock,6.8
1736,Diffuse Large B Cell Lymphoma,6.714285714285714
1737,Musculoskeletal Diseases,6.666666666666667
1738,Osteoarthritis,6.5
1739,Squamous Cell Carcinoma of Head and Neck,6.333333333333333
1740,Primary Myelofibrosis (PMF),6.333333333333333
1741,Vascular Diseases,6.333333333333333
1742,Chronic Myeloid Leukemia,6.285714285714286
1743,Leiomyosarcoma,6.166666666666667
1744,Replacement Therapy in Preterm Infants,6.0
1745,Left Ventricular Remodeling,6.0
1746,Metastatic Solid Tumors,6.0
1747,Primary Membranous Nephropathy,6.0
1748,"Brain Injuries, Traumatic",6.0
1749,Hemophilia A With Inhibitors,6.0
1750,Steroid Refractory GVHD,6.0
1751,Partial Lipodystrophy,6.0
1752,Myeloid or Lymphoid Neoplasms (MLN),6.0
1753,Advanced or Metastatic Gastric or Gastroesophageal Cancer,6.0
1754,Acute Severe Respiratory Failure,6.0
1755,Non-Small-Cell Lung Adenocarcinoma,6.0
1756,Antiphospholipid (aPL)-Positive,6.0
1757,Dysphagia,6.0
1758,Esophagitis,6.0
1759,Non Small Cell Lung Cancer (NSCLC),6.0
1760,Left Main Coronary Artery Disease,6.0
1761,Stable Chronic Angina,6.0
1762,NHL,6.0
1763,HBeAg-negative Chronic Hepatitis B,6.0
1764,"Hepatitis C, Chronic",6.0
1765,Acute Graft Versus Host Disease in Intestine,6.0
1766,Renal Anemia,6.0
1767,Neovascular (Wet) Age-related Macular Degeneration (AMD),6.0
1768,UC (Urothelial Cancer),6.0
1769,Pathologic Stage IV Cutaneous Melanoma AJCC v8,6.0
1770,Severe Sepsis,6.0
1771,Clinical and Nutritional Safety.,6.0
1772,Non-small Cell Lung Cancer Stage IV,6.0
1773,Lung Neoplasms,6.0
1774,Acute Leukemia (Category),6.0
1775,Generalised Lipodystrophy,6.0
1776,Neuroendocrine Tumors in Lung,6.0
1777,ADHD,6.0
1778,Diabetic Nephropathy,6.0
1779,Advanced or Metastatic Solid Tumor,6.0
1780,PAH,6.0
1781,"Heart Failure, Diastolic",6.0
1782,Non-small Cell Lung Cancer Stage IIIB,6.0
1783,Chronic Cluster Headache,5.666666666666667
1784,LOPD,5.5
1785,"Liposarcoma, Dedifferentiated",5.5
1786,Lysosomal Storage Diseases,5.5
1787,Relapsed Multiple Myeloma,5.5
1788,Acid Maltase Deficiency,5.5
1789,Anaplastic Astrocytoma,5.5
1790,Pulmonary Hypertension,5.5
1791,Familial Primary Pulmonary Hypertension,5.5
1792,Glycogen Storage Disease Type 2,5.5
1793,Cognitive Impairment,5.5
1794,Pompe Disease (Late-onset),5.5
1795,Pompe Disease,5.5
1796,Metastatic Cancer,5.4
1797,Stage IV Lung Non-Small Cell Cancer AJCC v7,5.0
1798,Stem Cell Transplantation,5.0
1799,Myocardial Injury After Noncardiac Surgery (MINS),5.0
1800,Graft vs Host Disease,5.0
1801,Castration Levels of Testosterone,5.0
1802,Extensive Stage Small Cell Lung Carcinoma,5.0
1803,Primary Amyloidosis of Light Chain Type,5.0
1804,Pathologic Stage I Cutaneous Merkel Cell Carcinoma AJCC v8,5.0
1805,Stage IV Prostate Adenocarcinoma AJCC v7,5.0
1806,Muscular Dystrophies,5.0
1807,"Genetic Diseases, X-Linked",5.0
1808,Gall Bladder Carcinoma,5.0
1809,Bloodstream Infection,5.0
1810,Metastatic Prostate Carcinoma in the Soft Tissue,5.0
1811,Pantothenate Kinase-Associated Neurodegeneration,5.0
1812,Castration-Resistant Prostate Carcinoma,5.0
1813,"Muscular Disorders, Atrophic",5.0
1814,Vomiting,5.0
1815,Pathologic Stage III Cutaneous Merkel Cell Carcinoma AJCC v8,5.0
1816,Adenocarcinoma of the Lung,5.0
1817,"Hypertension, Portal",5.0
1818,Muscular Diseases,5.0
1819,Hematologic Malignancies,5.0
1820,Adrenocortical Carcinoma,5.0
1821,Pathologic Stage II Cutaneous Merkel Cell Carcinoma AJCC v8,5.0
1822,Umbilical Cord Blood,5.0
1823,Aortic Valve Disease,5.0
1824,Limited Stage Small Cell Lung Carcinoma,5.0
1825,Prostate Carcinoma Metastatic in the Bone,5.0
1826,Multiple Sclerosis,5.0
1827,"Muscular Dystrophy, Duchenne",5.0
1828,Urinary Incontinence,5.0
1829,Advanced Breast Cancer,4.8
1830,Obesity,4.666666666666667
1831,Peripheral T-cell Lymphoma,4.666666666666667
1832,Liposarcoma,4.666666666666667
1833,Still Disease,4.5
1834,"Disease, Hodgkin",4.5
1835,Chemotherapy-induced Peripheral Neuropathy,4.5
1836,Brain Metastases,4.5
1837,Diffuse Large B-cell Lymphoma Refractory,4.5
1838,Stage IV Breast Cancer AJCC v6 and v7,4.5
1839,"Sclerosis, Systemic",4.5
1840,Becker Muscular Dystrophy,4.333333333333333
1841,"Lung Cancer, Nonsmall Cell",4.333333333333333
1842,Asthma,4.333333333333333
1843,Nodal Peripheral T-Cell Lymphoma of T Follicular Helper Cell Origin,4.0
1844,Haemoglobinopathies,4.0
1845,Mitochondrial Pathology,4.0
1846,Iliac Artery Stenosis,4.0
1847,Mitochondrial Complex I Deficiency,4.0
1848,COVID-19 Acute Bronchitis,4.0
1849,Relapsed and/or Refractory Multiple Myeloma,4.0
1850,Hyposmia,4.0
1851,Lupus,4.0
1852,Gastric Neuroendocrine Carcinoma,4.0
