,Trial ID,Title,Altmetric Attention Score,Condition
1381,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage IIB Esophageal Adenocarcinoma AJCC v8
1382,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8
1383,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage III Esophageal Adenocarcinoma AJCC v8
1384,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage III Esophageal Squamous Cell Carcinoma AJCC v8
1385,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8
1386,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage IVA Esophageal Adenocarcinoma AJCC v8
1387,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8
1388,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8
1389,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage I Esophageal Adenocarcinoma AJCC v8
1390,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage I Esophageal Squamous Cell Carcinoma AJCC v8
1391,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8
1392,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IA Esophageal Adenocarcinoma AJCC v8
1393,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IA Esophageal Squamous Cell Carcinoma AJCC v8
1394,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IA Gastroesophageal Junction Adenocarcinoma AJCC v8
1395,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IB Esophageal Adenocarcinoma AJCC v8
1396,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IB Esophageal Squamous Cell Carcinoma AJCC v8
1397,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IB Gastroesophageal Junction Adenocarcinoma AJCC v8
1398,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IC Esophageal Adenocarcinoma AJCC v8
1399,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IC Gastroesophageal Junction Adenocarcinoma AJCC v8
1400,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage II Esophageal Adenocarcinoma AJCC v8
1401,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage II Esophageal Squamous Cell Carcinoma AJCC v8
1402,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8
1403,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIA Esophageal Adenocarcinoma AJCC v8
1404,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIA Esophageal Squamous Cell Carcinoma AJCC v8
1405,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8
1406,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIB Esophageal Adenocarcinoma AJCC v8
1407,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIB Esophageal Squamous Cell Carcinoma AJCC v8
1408,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8
1409,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage III Esophageal Adenocarcinoma AJCC v8
1410,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage III Esophageal Squamous Cell Carcinoma AJCC v8
1411,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8
1412,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIA Esophageal Adenocarcinoma AJCC v8
1413,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v8
1414,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8
1415,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIB Esophageal Adenocarcinoma AJCC v8
1416,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8
1417,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8
1418,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IVA Esophageal Adenocarcinoma AJCC v8
1419,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8
1420,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8
1421,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage I Esophageal Adenocarcinoma AJCC v8
1422,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage I Esophageal Squamous Cell Carcinoma AJCC v8
1423,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8
1424,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage II Esophageal Adenocarcinoma AJCC v8
1425,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage II Esophageal Squamous Cell Carcinoma AJCC v8
1426,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8
1427,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage III Esophageal Adenocarcinoma AJCC v8
1428,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage III Esophageal Squamous Cell Carcinoma AJCC v8
1429,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8
1430,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIA Esophageal Adenocarcinoma AJCC v8
1431,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v8
1432,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8
1433,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIB Esophageal Adenocarcinoma AJCC v8
1434,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8
1435,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8
1436,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IVA Esophageal Adenocarcinoma AJCC v8
1437,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8
1438,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8
1439,NCT03801876,Phase III Randomized Trial of Proton Beam Therapy (PBT) Versus Intensity Modulated Photon Radiotherapy (IMRT) for the Treatment of Esophageal Cancer,28.0,Thoracic Esophagus Squamous Cell Carcinoma
1440,NCT03947619,Primary Unloading and Delayed Reperfusion in ST-Elevation Myocardial Infarction: The STEMI-DTU Trial,28.0,ST Elevation (STEMI) Myocardial Infarction of Anterior Wall
1441,NCT04551053,"A Randomized, Double-Blind, Placebo-Controlled Study of the PI3Kδ Inhibitor Parsaclisib Plus Ruxolitinib in Participants With Myelofibrosis Who Have Suboptimal Response to Ruxolitinib",28.0,Myelofibrosis
1442,NCT04551053,"A Randomized, Double-Blind, Placebo-Controlled Study of the PI3Kδ Inhibitor Parsaclisib Plus Ruxolitinib in Participants With Myelofibrosis Who Have Suboptimal Response to Ruxolitinib",28.0,Primary Myelofibrosis
1443,NCT04551053,"A Randomized, Double-Blind, Placebo-Controlled Study of the PI3Kδ Inhibitor Parsaclisib Plus Ruxolitinib in Participants With Myelofibrosis Who Have Suboptimal Response to Ruxolitinib",28.0,Post Essential Thrombocythemia Myelofibrosis
1444,NCT04551053,"A Randomized, Double-Blind, Placebo-Controlled Study of the PI3Kδ Inhibitor Parsaclisib Plus Ruxolitinib in Participants With Myelofibrosis Who Have Suboptimal Response to Ruxolitinib",28.0,Post Polycythemia Vera Myelofibrosis
1445,NCT04551066,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Combination of PI3Kδ Inhibitor Parsaclisib and Ruxolitinib in Participants With Myelofibrosis",28.0,Myelofibrosis
1446,NCT04551066,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Combination of PI3Kδ Inhibitor Parsaclisib and Ruxolitinib in Participants With Myelofibrosis",28.0,Primary Myelofibrosis
1447,NCT04551066,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Combination of PI3Kδ Inhibitor Parsaclisib and Ruxolitinib in Participants With Myelofibrosis",28.0,Post Essential Thrombocythemia Myelofibrosis
1448,NCT04551066,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Combination of PI3Kδ Inhibitor Parsaclisib and Ruxolitinib in Participants With Myelofibrosis",28.0,Post Polycythemia Vera Myelofibrosis
1449,NCT04586023,"A Phase III Multicenter Randomized, Double-Blind, Double-Dummy, Parallel-Group Study to Evaluate the Efficacy and Safety of Fenebrutinib Compared With Teriflunomide in Adult Patients With Relapsing Multiple Sclerosis",28.0,Relapsing Multiple Sclerosis
1450,NCT05023980,"A Phase 3 Open-Label, Randomized Study of Pirtobrutinib (LOXO-305) Versus Bendamustine Plus Rituximab in Untreated Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma",28.0,Chronic Lymphocytic Leukemia
1451,NCT05023980,"A Phase 3 Open-Label, Randomized Study of Pirtobrutinib (LOXO-305) Versus Bendamustine Plus Rituximab in Untreated Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma",28.0,Small Lymphocytic Lymphoma
1452,NCT05215340,"A Randomized, Open-label, Phase 3 Trial of Dato-DXd Plus Pembrolizumab vs Pembrolizumab Alone in Treatment-naïve Subjects With Advanced or Metastatic PD-L1 High (TPS ≥50%) Non-small Cell Lung Cancer Without Actionable Genomic Alterations (TROPION-Lung08)",28.0,Metastatic Non Small Cell Lung Cancer
1453,NCT05348785,"A Phase 2b, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Determine the Efficacy and Safety of BIIB122 in Participants With Parkinson's Disease",28.0,Parkinson Disease
1454,NCT00756600,A Multi-site Randomised Controlled Trial Comparing Regional and General Anaesthesia for Effects on Neurodevelopmental Outcome and Apnoea in Infants,27.0,Inguinal Hernia
1455,NCT01984242,"A Phase II, Randomized Study of Atezolizumab (Anti-PD-L1 Antibody) Administered as Monotherapy or in Combination With Bevacizumab Versus Sunitinib in Patients With Untreated Advanced Renal Cell Carcinoma",27.0,Renal Cell Carcinoma
1456,NCT02157272,"A Prospective, Randomized Clinical Trial Comparing Rivaroxaban vs Warfarin in High Risk Patients With Antiphospholipid Syndrome",27.0,Antiphospholipid Syndrome
1457,NCT02273973,"A Phase II Randomized, Double-Blind Study of Neoadjuvant Letrozole Plus GDC-0032 Versus Letrozole Plus Placebo in Postmenopausal Women With ER-positive/HER2-negative, Early Stage Breast Cancer",27.0,Breast Cancer
1458,NCT02308111,"A Phase 4, Double-Blind, Randomized, Placebo-Controlled, Multicenter Study Evaluating the Effect of Obeticholic Acid on Clinical Outcomes in Patients With Primary Biliary Cholangitis",27.0,"Liver Cirrhosis, Biliary"
1459,NCT02831959,"Pivotal, Open-label, Randomized Study of Radiosurgery With or Without Tumor Treating Fields (TTFields) for 1-10 Brain Metastases From Non-small Cell Lung Cancer (NSCLC).",27.0,Brain Metastases From Non-small Cell Lung Cancer (NSCLC)
1460,NCT03162874,"A Multi-centre, Double-blind, Randomised, Placebo-controlled, Parallel-arm Phase IIa Trial to Evaluate the Efficacy, Safety and Tolerability of 28-Day Oral Treatment With PXT002331 (Foliglurax) in Reducing Motor Complications of Levodopa Therapy in Subjects With Parkinson's Disease Experiencing End-of-dose Wearing Off and Levodopa-Induced Dyskinesia (AMBLED)",27.0,Parkinson Disease
1461,NCT03215511,A Phase 1 Study of the TRK Inhibitor Selitrectinib (BAY 2731954) in Adult and Pediatric Subjects With Previously Treated NTRK Fusion Cancers,27.0,Solid Tumors Harboring NTRK Fusion
1462,NCT03328078,"An Open-Label, Dose Escalation and Dose Expansion Trial Evaluating the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of Orally Administered CA-4948 in Patients With Relapsed or Refractory Primary Central Nervous System Lymphoma",27.0,Relapsed Hematologic Malignancy
1463,NCT03328078,"An Open-Label, Dose Escalation and Dose Expansion Trial Evaluating the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of Orally Administered CA-4948 in Patients With Relapsed or Refractory Primary Central Nervous System Lymphoma",27.0,Refractory Hematologic Malignancy
1464,NCT03328078,"An Open-Label, Dose Escalation and Dose Expansion Trial Evaluating the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of Orally Administered CA-4948 in Patients With Relapsed or Refractory Primary Central Nervous System Lymphoma",27.0,Relapsed Primary Central Nervous System Lymphoma
1465,NCT03328078,"An Open-Label, Dose Escalation and Dose Expansion Trial Evaluating the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of Orally Administered CA-4948 in Patients With Relapsed or Refractory Primary Central Nervous System Lymphoma",27.0,Refractory Primary Central Nervous System Lymphoma
1466,NCT03466463,"A Phase I/II, Open Label, Study to Evaluate Safety and Efficacy of an Intravenous Injection of GNT0003 (AAV Vector Expressing the UGT1A1 Transgene) in Patients With Severe Crigler-Najjar Syndrome Requiring Phototherapy",27.0,Crigler-Najjar Syndrome
1467,NCT03659916,An Open-label Extension Study to Evaluate Long-term Efficacy and Safety of A4250 in Children With Progressive Familial Intrahepatic Cholestasis Types 1 and 2 (PEDFIC 2),27.0,Progressive Familial Intrahepatic Cholestasis
1468,NCT03793179,"EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis",27.0,Lung Non-Squamous Non-Small Cell Carcinoma
1469,NCT03793179,"EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis",27.0,Stage IIIB Lung Cancer AJCC v8
1470,NCT03793179,"EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis",27.0,Stage IIIC Lung Cancer AJCC v8
1471,NCT03793179,"EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis",27.0,Stage IV Lung Cancer AJCC v8
1472,NCT03945188,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, 52-Week Study to Assess the Efficacy and Safety of Etrasimod in Subjects With Moderately to Severely Active Ulcerative Colitis",27.0,Ulcerative Colitis
1473,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,CDK Gene Mutation
1474,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,Metastatic Malignant Neoplasm in the Brain
1475,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,Metastatic Malignant Solid Neoplasm
1476,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,NTRK Family Gene Mutation
1477,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,PI3K Gene Mutation
1478,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,ROS1 Gene Mutation
1479,NCT03994796,Genomically-Guided Treatment Trial in Brain Metastases,27.0,KRAS G12C Mutation
1480,NCT04418765,"Interventional, Randomized, Double-blind, Parallel-group, Placebo-controlled Study With an Extension Period to Evaluate the Efficacy and Safety of Eptinezumab for the Prevention of Migraine in Patients With Unsuccessful Prior Preventive Treatments",27.0,Migraine
1481,NCT04622319,"A Phase 3, Multicenter, Randomized, Open-Label, Active-Controlled Study of Trastuzumab Deruxtecan (T-DXd) Versus Trastuzumab Emtansine (T-DM1) in Participants With High-Risk HER2-Positive Primary Breast Cancer Who Have Residual Invasive Disease in Breast or Axillary Lymph Nodes Following Neoadjuvant Therapy (DESTINY-Breast05)",27.0,HER2-Positive Primary Breast Cancer
1482,NCT04622319,"A Phase 3, Multicenter, Randomized, Open-Label, Active-Controlled Study of Trastuzumab Deruxtecan (T-DXd) Versus Trastuzumab Emtansine (T-DM1) in Participants With High-Risk HER2-Positive Primary Breast Cancer Who Have Residual Invasive Disease in Breast or Axillary Lymph Nodes Following Neoadjuvant Therapy (DESTINY-Breast05)",27.0,Residual Invasive Breast Cancer
1483,NCT04624659,"An Adaptive, Randomized, Placebo-controlled, Double-blind, Multi-center Study of Oral Etavopivat, a Pyruvate Kinase Activator in Patients With Sickle Cell Disease (HIBISCUS)",27.0,Sickle Cell Disease
1484,NCT04852887,"A Phase III Clinical Trial Evaluating De-Escalation of Breast Radiation for Conservative Treatment of Stage I, Hormone Sensitive, HER-2 Negative, Oncotype Recurrence Score Less Than or Equal to 18 Breast Cancer",27.0,Stage I Breast Cancer
1485,NCT04871282,"RINGSIDE: A Phase 2/3, Randomized, Multicenter Study to Evaluate AL102 in Patients With Progressing Desmoid Tumors",27.0,Desmoid
1486,NCT04871282,"RINGSIDE: A Phase 2/3, Randomized, Multicenter Study to Evaluate AL102 in Patients With Progressing Desmoid Tumors",27.0,Desmoid Tumor
1487,NCT05071664,"A Phase 2a, Multicenter, Randomized, Double-blind Study Evaluating the Efficacy and Safety of Subcutaneously Administered Guselkumab and Golimumab Combination Therapy in Participants With Active Psoriatic Arthritis",27.0,"Arthritis, Psoriatic"
1488,NCT05256134,"A Phase III, Multicenter, Randomized, Parallel-Group, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Gantenerumab in Participants at Risk for or at the Earliest Stages of Alzheimer's Disease",27.0,Alzheimers Disease
1489,NCT00410384,"A Phase 3, Multi-Center, Randomized, Double-Blind, Placebo-Controlled, 76-Week Study to Evaluate the Efficacy and Safety of Belimumab (HGS1006, LymphoStat-B™), a Fully Human Monoclonal Anti-BLyS Antibody, in Subjects With Systemic Lupus Erythematosus (SLE)",26.0,Systemic Lupus Erythematosus
1490,NCT01689519,"A Phase III, Double-Blind, Placebo-Controlled Study of Vemurafenib Versus Vemurafenib Plus GDC-0973 in Previously Untreated BRAF^600-Mutation Positive Patients With Unresectable Locally Advanced or Metastatic Melanoma",26.0,Malignant Melanoma
1491,NCT02004873,Micra Transcatheter Pacing Study,26.0,Class I or II Indication for Implantation of a Single Chamber Ventricular Pacemaker According to ACC/AHA/HRS 2001 Guidelines and Any National Guidelines
1492,NCT02375204,"A Randomized Phase III Trial Comparing Conventional-Dose Chemotherapy Using Paclitaxel, Ifosfamide, and Cisplatin (TIP) With High-Dose Chemotherapy Using Mobilizing Paclitaxel Plus Ifosfamide Followed by High-Dose Carboplatin and Etoposide (TI-CE) as First Salvage Treatment in Relapsed or Refractory Germ Cell Tumors",26.0,Germ Cell Tumor
1493,NCT02375204,"A Randomized Phase III Trial Comparing Conventional-Dose Chemotherapy Using Paclitaxel, Ifosfamide, and Cisplatin (TIP) With High-Dose Chemotherapy Using Mobilizing Paclitaxel Plus Ifosfamide Followed by High-Dose Carboplatin and Etoposide (TI-CE) as First Salvage Treatment in Relapsed or Refractory Germ Cell Tumors",26.0,Teratoma
1494,NCT02375204,"A Randomized Phase III Trial Comparing Conventional-Dose Chemotherapy Using Paclitaxel, Ifosfamide, and Cisplatin (TIP) With High-Dose Chemotherapy Using Mobilizing Paclitaxel Plus Ifosfamide Followed by High-Dose Carboplatin and Etoposide (TI-CE) as First Salvage Treatment in Relapsed or Refractory Germ Cell Tumors",26.0,Choriocarcinoma
