,AHC,Sponsors/Collaborators,Number of Collaborations
3472,Federico II,OhioHealth,2
3473,Federico II,University of Occupational and Environmental Health Japan,2
3474,Federico II,University Clinical Centre of the Republic of Srpska,2
3475,Federico II,Hyogo Prefectural Cancer Center,2
3476,Federico II,"Bugat Pal Hospital, Gyongyos",2
3477,Federico II,Midwest Cardiovascular Research and Education Foundation,2
3478,Federico II,National Medical Research Center for Children's Health,2
3479,Federico II,Istanbul Medipol University,2
3480,Federico II,"Regional State Budgetary Healthcare Institution ""Smolensk Regional Clinical Hospital""",2
3481,Federico II,"Asheville Gastroenterology Associates, PA",2
3482,Federico II,Hospital Interzonal General de Agudos Dr Jose Penna,2
3483,Federico II,Clinique de la Memoire de l'Outaouais,2
3484,Federico II,Instituto de Oncología de Rosario,2
3485,Federico II,Hospital Santa Caterina,2
3486,Federico II,Hyogo Brain and Heart Center,2
3487,Federico II,Omega Hospital (P) Limited,2
3488,Federico II,IRCCS Gruppo Multimedica,2
3489,Federico II,"St. Francis Medical Group-Indiana Heart Physicians, Inc",2
3490,Federico II,Clínica Olivos,2
3491,Federico II,JBN Medical Diagnostic Services Inc.,2
3492,Federico II,Lausmed Kft. Outpatient Unit of Internal Medicine,2
3493,Federico II,Steel Memorial Yawata Hospital,2
3494,Federico II,"Centro de Estudios Clinicos y Especialidades Medicas, S.C.",2
3495,Federico II,GenesisCare North Shore,2
3496,Federico II,Excelcare Hospital,2
3497,Federico II,Institute of Clinical Cancer Research,2
3498,Federico II,Twoja Przychodnia SCM,2
3499,Federico II,Fukui-ken Saiseikai Hospital,2
3500,Federico II,Chuno Kosei Hospital,2
3501,Federico II,Shenandoah Oncology,2
3502,Federico II,University of North Texas Health Science Center,2
3503,Federico II,"Heart Center Research, LLC",2
3504,Federico II,Texas Oncology-Plano East,2
3505,Federico II,Markhot Ferenc Oktatokorhaz es Rendelointezet,2
3506,Federico II,Syrentis Clinical Research,2
3507,Federico II,SPb SBIH 'City Hospital # 40 of Kurortnyi region',2
3508,Federico II,"Covigilant Research, LLC",2
3509,Federico II,"Advanced Heart Care, LLC",2
3510,Federico II,Sanatorio Británico,2
3511,Federico II,Sendai Kousei Hospital,2
3512,Federico II,Yodogawa Christian Hospital,2
3513,Federico II,Virgen Cardiovascular Research SC,2
3514,Federico II,SPZOZ Uniwersytecki Szpital Klin. nr 1 im.N.Barlickiego UM,2
3515,Federico II,MUDr. Alexandra Ludkova,2
3516,Federico II,ULLS1 1 Dolomiti - Ospedale di Feltre,2
3517,Federico II,Privolzhsky Research Medical University,2
3518,Federico II,Unity Hospital,2
3519,Federico II,Beverly Hills Cancer Center,2
3520,Federico II,Peterborough City Hospital,2
3521,Federico II,Cardiovascular Research Center of South Florida,2
3522,Federico II,CCBR - Rio de Janeiro - BR,2
3523,Federico II,Diseño y Planeación en Investigación Médica SC,2
3524,Federico II,TSBIH 'Territorial Clinical Hospital',2
3525,Federico II,Krankenhaus Dresden-Friedrichstadt,2
3526,Federico II,PV-Kardiologie s.r.o.,2
3527,Federico II,Szpital Specjalistyczny w Brzozowie Podkarpacki Osrodek Onkologiczny im. Ks. B. Markiewicza,2
3528,Federico II,4. Military Clinical Hospital with Polyclinic SP ZOZ,2
3529,Federico II,Ramdev Rao Hospital,2
3530,Federico II,Agia Sofia Hospital of Athens,2
3531,Federico II,B.M. Birla Heart research Centre,2
3532,Federico II,Centrum Medyczne Kształcenia Podyplomowego,2
3533,Federico II,Rockford Cardiovascular Associates,2
3534,Federico II,Metropolitan Cardiovascular Consultants,2
3535,Federico II,Heart Hospital Baylor Plano,2
3536,Federico II,Azienda Ospedaliera San Carlo,2
3537,Federico II,Policlinico San Donato,2
3538,Federico II,Krakowska Akademia Neurologii Sp. z o.o.,2
3539,Federico II,Institut für Diabetesforschung GmbH Münster - Dr. med. Rose,2
3540,Federico II,Hospital Prof. Dr. Fernando Fonseca,2
3541,Federico II,Main Line Gastroenterology Associates,2
3542,Federico II,HOP Rangueil,2
3543,Federico II,Seiwakai Suizenji Touya Hospital,2
3544,Federico II,Miriam Hospital,2
3545,Federico II,Instituto de Cardiología de Corrientes,2
3546,Federico II,Carilion Children's Tanglewood Center,2
3547,Federico II,Texas Tech University Health Sciences Center El Paso,2
3548,Federico II,Samara State Medical University,2
3549,Federico II,Mount Sinai Beth Israel,2
3550,Federico II,CER Instituto Médico,2
3551,Federico II,AO Santa Croce e Carle,2
3552,Federico II,"Infinity Clinical Research, LLC",2
3553,Federico II,Hasbro Children's Hospital,2
3554,Federico II,Peninsula Research,2
3555,Federico II,Kanazawa Medical Center,2
3556,Federico II,Glenfield Hospital,2
3557,Federico II,South Oklahoma Heart Research Group,2
3558,Federico II,"Uzsoki Street Hospital, Budapest",2
3559,Federico II,GWT-TUD (Germany),2
3560,Federico II,IRCCS Istituto Oncologico Veneto (IOV),2
3561,Federico II,"Pinnacle Research Group, LLC",2
3562,Federico II,Zambon SpA,2
3563,Federico II,Atlanta Center for Medical Research,2
3564,Federico II,CI of Kyiv RC Kyiv Regional Clinical Hospital,2
3565,Federico II,Instituto de Investigaciones Clinicas de Rosario,2
3566,Federico II,Goryeb Children's Hospital,2
3567,Federico II,Uniwersytecki Szpital Kliniczny im. Jana Mikulicza Radeckiego we Wroclawiu,2
3568,Federico II,Prevention Connections,2
3569,Federico II,Petrus-Krankenhaus,2
3570,Federico II,Cardiologia Clinica e Intervencionista,2
3571,Federico II,the first people hospital of Yue Yang,2
3572,Federico II,Tokyo Rosai Hospital,2
3573,Federico II,Kawartha Centre - Redefining Healthy Aging,2
3574,Federico II,Klinika Ginekologii Onkologicznej,2
3575,Federico II,MidMichigan Medical Center - Alpena,2
3576,Federico II,MedStar Health,2
3577,Federico II,"Red Oak Psychiatry Associates, PA",2
3578,Federico II,Clinical Trials Research_Sacramento,2
3579,Federico II,Royal Victoria Regional Health Centre,2
3580,Federico II,Henrico Doctors' Hospital,2
3581,Federico II,Hospital Quiron. I.C.U.,2
3582,Federico II,Treasure Valley Medical Research,2
3583,Federico II,M Heffernan Medicine Professional Corp.,2
3584,Federico II,Teine Keijinkai Clinic,2
3585,Federico II,"Centro de Investigación Clinica Acelerada, S.C.",2
3586,Federico II,Clinique des Maladies Lipidiques de Quebec Inc.,2
3587,Federico II,SU/Sahlgrenska,2
3588,Federico II,Chiba Heart Clinic,2
3589,Federico II,"Specialistic Cardiology&Hypertension Out-patient Clin,Kielce",2
3590,Federico II,Barrow Neurological Institute,2
3591,Federico II,CPQuali Pesquisa Clinica,2
3592,Federico II,Mater Miscericordiae Hospital,2
3593,Federico II,Ospedale Regina Margherita,2
3594,Federico II,Belgyogyaszati es Kardiologiai Maganrendelo,2
3595,Federico II,Henan Children's Hospital(Zhengzhou Children's Hospital),2
3596,Federico II,Servizio di Ematologia - CTMO - ASL 8 P.O. Binaghi,2
3597,Federico II,Buffalo General Medical Center,2
3598,Federico II,Clinica Coronel Suarez SA,2
3599,Federico II,First Affiliated Hospital of Guangzhou University of Chinese Medicine,2
3600,Federico II,GI Care for Kids,2
3601,Federico II,Roper St. Francis Healthcare,2
3602,Federico II,Jawahar Lal Nehru Govt. Medical College,2
3603,Federico II,Hôpital de l'Enfant-Jésus,2
3604,Federico II,"Morales Vargas Centro de Investigacion, S.C.",2
3605,Federico II,SP CSK im. prof. K. Gibinskiego SUM,2
3606,Federico II,Facharztzentrum Eppendorf,2
3607,Federico II,Affiliated Hospital of Southwest Medical University,2
3608,Federico II,"MUDr. Jan Hubac, s.r.o. Kardiologicka ambulance",2
3609,Federico II,Rajarajeswari Medical College and Hospital,2
3610,Federico II,Szabolcs-Szatmár-Bereg Megyei Kórházak És Egyetemi Oktatókórház,2
3611,Federico II,Centro Médico Viamonte,2
3612,Federico II,Kobe Medical Center,2
3613,Federico II,Medical Research of Arizona,2
3614,Federico II,Cooper University Health Care,2
3615,Federico II,Dr. Nagy Laszlo Kardiologiai Maganrendeles,2
3616,Federico II,BovenIJ Ziekenhuis,2
3617,Federico II,Wayne State University,2
3618,Federico II,"Research Concierge, LLC",2
3619,Federico II,Sanatorio Mayo Privado SA,2
3620,Federico II,Zgierskie Center of Cardiology MED-PRO,2
3621,Federico II,Bernstein Clinical Research Center,2
3622,Federico II,Sanatorio Allende S.A.,2
3623,Federico II,Clinique Neuro-Outaouais,2
3624,Federico II,CHR Verviers,2
3625,Federico II,FGM - Clínica Paulista de Doenças Cardiovasculares,2
3626,Federico II,Hokushin General Hospital,2
3627,Federico II,Spectrum Clinical Research,2
3628,Federico II,Avance Clinical Trials,2
3629,Federico II,Instituto de Investigaciones Clínicas de Quilmes,2
3630,Federico II,Fuwai Hospital,2
3631,Federico II,"Praxis Dr. Stenzel, Riesa",2
3632,Federico II,Centro de Investigacion Cardiovascular y Metabolica,2
3633,Federico II,Kumamotorosaibyoin,2
3634,Federico II,UO Ematologia con trapianto- AOU Policlinico Consorziale di Bari,2
3635,Federico II,The Second Affiliated Hospital of Lanzhou Medical University,2
3636,Federico II,Gastroenterology Associates of Central Georgia,2
3637,Federico II,Mohan Babapulle Medicine Professional Medicine,2
3638,Federico II,Nanbu Tokushukai Hospital,2
3639,Federico II,Medicome Sp. z o.o.,2
3640,Federico II,Institute Cancer De La Loire Lucien Neuwirth,2
3641,Federico II,"Klaipeda Republican Hospital, Public Institution",2
3642,Federico II,AdventHealth Tampa,2
3643,Federico II,Holy Cross Hospital,2
3644,Federico II,UFA (United States),2
3645,Federico II,DCC Focus 5 - MEOH OOD,2
3646,Federico II,NSZOZ Unica CR,2
3647,Federico II,Kantonsspital Graubünden,2
3648,Federico II,Centro Medico Luquez,2
3649,Federico II,Szpital Wojewódzki w Opolu,2
3650,Federico II,Hospital de Día Quirónsalud Zaragoza,2
3651,Federico II,MEDICOVER Neuroendokrinologie,2
3652,Federico II,Municipal Non-profit Enterprise of Kharkiv Regional Council Regional Childrens Clinical Hospital,2
3653,Federico II,Shiga University of Medical Science Hospital,2
3654,Federico II,Morton Plant Mease,2
3655,Federico II,First Hospital of Lanzhou University,2
3656,Federico II,First Affiliated Hospital of Chongqing Medical University,2
3657,Federico II,Dorottya Kanizsai Hospital,2
3658,Federico II,Ziekenhuis Netwerk Antwerpen Stuivenberg,2
3659,Federico II,Northwest Oncology & Hematology - Rolling Meadows,2
3660,Federico II,"S.S.D. Microcitemia, anemie congenite e dismetabolismo del ferro",2
3661,Federico II,National Institute of Rheumatic Diseases,2
3662,Federico II,St. Boniface Hospital,2
3663,Federico II,Southwest Autism Research & Resource Center,2
3664,Federico II,Yunnan Cancer Hospital,2
3665,Federico II,"East Mountain Medical Associates, PC",2
3666,Federico II,Greater Poland Cancer Center,2
3667,Federico II,Institut Hospital del Mar d'Investigacions Mèdiques,2
3668,Federico II,American University of Beirut,2
3669,Federico II,Euromedical General Clinic of Thessaloniki,2
3670,Federico II,Kernodle Clinic West,2
3671,Federico II,Centro de Pesquisas em Diabetes,2
3672,Federico II,Yamamoto Clinic,2
3673,Federico II,Hôpital des Chapennes,2
3674,Federico II,SI 'Insitute of Neurosurgery n.a.acad. A.P.,2
3675,Federico II,Heart Health Institute,2
3676,Federico II,Orangutan Conservancy,2
3677,Federico II,"K2 Medical Research, LLC",2
3678,Federico II,University of California,2
3679,Federico II,G.A. Research Associates Ltd,2
3680,Federico II,Dr. Louis C.H. Yao,2
3681,Federico II,KIGE s.r.o,2
3682,Federico II,Virginia Mason Seattle Main Clinic,2
3683,Federico II,Bristol Royal Infirmary,2
3684,Federico II,Harlem Cardiology,2
3685,Federico II,All-Med,2
3686,Federico II,University Clinical Hospital Center Dr Dragisa Misovic- Dedi,2
3687,Federico II,"Research Integrity, LLC",2
3688,Federico II,Palmetto Research Center,2
3689,Federico II,Uwajima City Hospital,2
3690,Federico II,Azienda Ospedaliera Santa Croce e Carle,2
3691,Federico II,Azienda Ospedaliera Fatebenefratelli e Oftalmico,2
3692,Federico II,Las Vegas Medical Research,2
3693,Federico II,Medical Arts Health Research Group,2
3694,Federico II,NSABP Foundation,2
3695,Federico II,Texas Dermatology and Laser Specialists,2
3696,Federico II,Azienda di Rilievo Nazionale ed Alta Specializzazione,2
3697,Federico II,Onkológiai Osztály,2
3698,Federico II,Sanford Health Foundation,2
3699,Federico II,Oklahoma Cancer Specialists and Research Institute,2
3700,Federico II,La Louvière - UNIV CHU Tivoli,2
3701,Federico II,Centro de Pesquisa Clinica - CPCLIN,2
3702,Federico II,Poliklinika Humanitas,2
3703,Federico II,Wojewodzka Poradnia dla Chorych na Cukrzyce w Zabrzu,2
3704,Federico II,Instituto Medico Fundación Grupo Colaborativo Rosario,2
3705,Federico II,Specialized Practice Dr. Janusz Spyra,2
3706,Federico II,Instituto de Diagnóstico e Investigaciones Metabólicas,2
3707,Federico II,Clinical Research of Charlotte,2
3708,Federico II,Centrum Nowoczesnch Terapii 'Dobry Lekarz',2
3709,Federico II,Navy Hospital of Athens,2
3710,Federico II,Long Beach Center for Clinical Research,2
3711,Federico II,Praxis Pesquisa Médica,2
3712,Federico II,Angiocor s.r.o,2
3713,Federico II,Lafayette General Medical Center,2
3714,Federico II,Gastro-Enterology Research of Lima,2
3715,Federico II,"""Hadji Dimitar"" Hospital",2
3716,Federico II,CORE Research Group,2
3717,Federico II,Japanese Red Cross Nagoya Daini Hospital,2
3718,Federico II,Billings Clinic,2
3719,Federico II,Clinical Research of Gastonia,2
3720,Federico II,"CORDIS S.A., Salta",2
3721,Federico II,Kitano Hospital,2
3722,Federico II,Oncology Department,2
3723,Federico II,St. Joseph Hospital,2
3724,Federico II,Uji-Tokushukai Medical Center,2
3725,Federico II,Musgrove Park Hospital,2
3726,Federico II,McMaster University Medical Centre,2
3727,Federico II,Voronezh State Medical Academy named after N.N. Burdenko,2
3728,Federico II,Centro do Diagnostico e Pesquisa da Osteoporose do Espirito Santo,2
3729,Federico II,Naha City Hospital,2
3730,Federico II,Southern Medical Day Care Centre,2
3731,Federico II,Narayana Hrudayalya Institute of Cardiac Sciences,2
3732,Federico II,Kaiser Permanente San Diego Medical Center,2
3733,Federico II,Ascension Via Christi,2
3734,Federico II,Diabetes/Lipid Management & Research Center,2
3735,Federico II,Hospital Universitário Pedro Ernesto,2
3736,Federico II,"Praxis Dr. Rieker, Berlin",2
3737,Federico II,Poradnia Kardiologiczna Jaroslaw Jurowiecki,2
3738,Federico II,Azienda Ospedaliera V. Cervello,2
3739,Federico II,Centralny Szpital Kliniczny MSW w Warszawie,2
3740,Federico II,IPO Porto,2
3741,Federico II,Soltero Cardiovascular Research Center,2
3742,Federico II,"Diabetes, Thyroid and Endocrine Centre",2
3743,Federico II,Gabinet Endoskopii Przewodu Pokarmowego,2
3744,Federico II,Protalix,2
3745,Federico II,Ospedale della Val di Chiana Santa Margherita,2
3746,Federico II,Investigational site,2
3747,Federico II,Brampton Cardio Pulmonary Clinic,2
3748,Federico II,Kanmon Medical Center,2
3749,Federico II,Helios Klinikum Krefeld,2
3750,Federico II,"Emergency Clinical County Hospital, Endocrinology Clinic",2
3751,Federico II,Doctor Jivraj Mehta Smarak Health Foundation,2
3752,Federico II,Children's Hospital Agia Sophia,2
3753,Federico II,Ospedale di Santo Spirito,2
3754,Federico II,Gynecologic Oncology Group,2
3755,Federico II,Alpine Research Organization,2
3756,Federico II,Centrum Medyczne Senior,2
3757,Federico II,"NZOZ Homeo Medicus, Poradnia Alergologiczna",2
3758,Federico II,The Memory Clinic,2
3759,Federico II,"Hospital Italiano Regional del Sur, Bahia Blanca",2
3760,Federico II,CETI - Centro de Estudos em Terapias Inovadoras,2
3761,Federico II,TREAD Research,2
3762,Federico II,Blokhin Cancer Research Center,2
3763,Federico II,"Excel Medical Clinical Trials, LLC",2
3764,Federico II,Clinical Research Consultants (United States),2
3765,Federico II,Szent János Kórház,2
3766,Federico II,Hospital Rafael Méndez,2
3767,Federico II,Centro de Investigaciones Médicas,2
3768,Federico II,"Praxis Dr. Sarnighausen, Lüneburg",2
3769,Federico II,Matsuyama Shimin Hospital,2
3770,Federico II,NHS Lanarkshire,2
3771,Federico II,Canadian Phase Onward Inc.,2
3772,Federico II,Nzoz Salus,2
3773,Federico II,Individual Specialized Practice,2
3774,Federico II,Podlaskie Centrum Psychogeriatrii,2
3775,Federico II,Hospital Costa del Sol,2
3776,Federico II,Denver Health Medical Center,2
3777,Federico II,Complex Oncology Center - Plovdiv EOOD,2
3778,Federico II,Leicester General Hospital,2
3779,Federico II,Ospedale regionale di Lugano,2
3780,Federico II,Centro Especializado em Cardiol Loema Instituto de Pesq Clin,2
3781,Federico II,Shobara Red Cross Hospital,2
3782,Federico II,Alexian Brothers Medical Center,2
3783,Federico II,Hospital General de Granollers,2
3784,Federico II,Methodist University Hospital,2
3785,Federico II,CECAP - Centro de Cardiologia Clínica,2
3786,Federico II,Accelerated Enrollment Solutions (AES),2
3787,Federico II,Stockholm South General Hospital,2
3788,Federico II,Ospedale di Mirano,2
3789,Federico II,Institut fuer Schlaganfall- und Demenzforschung (ISD),2
3790,Federico II,Sunrise Hospital,2
3791,Federico II,Clinical Research Solutions,2
3792,Federico II,Blackpool Victoria Hospital,2
3793,Federico II,Hôpital de La Grave,2
3794,Federico II,Hospital Privado de Comunidad,2
3795,Federico II,Zdenek Vomacka,2
3796,Federico II,Kardio Vaclavik s.r.o.,2
3797,Federico II,Ewha Womans University,2
3798,Federico II,Tennyson Centre Day Hospital,2
3799,Federico II,NZOZ Vitamed,2
3800,Federico II,Gallipoli Medical Research Foundation,2
3801,Federico II,Blue Coast Cardiology,2
3802,Federico II,Sanatorio Plaza,2
3803,Federico II,Milit.Hosp.-State Health Cent.,2
3804,Federico II,Haga Hospital,2
3805,Federico II,"AMC Research, LLC",2
3806,Federico II,Detská Fakultná Nemocnica s Poliklinikou,2
3807,Federico II,Collaborative Neuroscience Network,2
3808,Federico II,Grady Clinical Research Center,2
3809,Federico II,Selye Janos Hospital Komarom,2
3810,Federico II,Agriculture and Agriculture-Food Canada,2
3811,Federico II,Nehezlegzes Ambulancia,2
3812,Federico II,"Instituto Cardiovascular de Monclova, S de RL de CV",2
3813,Federico II,Clinique Specialisee en Allergie de la Capitale,2
3814,Federico II,Fukuyama City Hospital,2
3815,Federico II,Tanner Clinic,2
3816,Federico II,Sichuan Cancer Hospital,2
3817,Federico II,Johns Hopkins Hospital,2
3818,Federico II,Terveystalo Ruoholahti,2
3819,Federico II,Ospedale dei Bambini Vittore Buzzi,2
3820,Federico II,"Centex Studies, Inc.",2
3821,Federico II,Hospital Universitario de Guadalajara,2
3822,Federico II,Centro de Investigacion Medica Alberto Bazzoni S.A. de C.V.,2
3823,Federico II,Integrated Heart Care,2
3824,Federico II,Clinical Research of Rock Hill,2
3825,Federico II,Praxis Dr. Menzel,2
3826,Federico II,Ome Municipal General Hospital,2
3827,Federico II,PharmaTex Research,2
3828,Federico II,McMaster University,2
3829,Federico II,Cambridge Medical Trials,2
3830,Federico II,Umberto I - Policlinico di Roma,2
3831,Federico II,Neuro Pain Medical Center,2
3832,Federico II,ASST di Monza,2
3833,Federico II,Istituto Ortopedico Rizzoli,2
3834,Federico II,Greenslopes Private Hospital,2
3835,Federico II,"Arkansas Primary Care Clinic, PA",2
3836,Federico II,Lukmed Lukasz Wozniak,2
3837,Federico II,Senior Adult Specialty Research,2
3838,Federico II,University Hospital of Lord’s Transfiguration,2
3839,Federico II,Centre de Dépistage et Recherche Cardiovasculaire Rive-Sud,2
3840,Federico II,Private Medical Institution 'Euromedservice',2
3841,Federico II,Chiba Cancer Center,2
3842,Federico II,Clinical Trials of America Inc,2
3843,Federico II,"SI Institute of Gastroenterology of NAMSU Dept of Stomach & Duodenum Diseases, D&ThN SI DMA of MoHU",2
3844,Federico II,"Clinical Trials of America, Inc",2
3845,Federico II,Neuro-Care Gabriela Klodowska,2
3846,Federico II,Hospital Center of Cova da Beira,2
3847,Federico II,Jefferson Abington Hospital,2
3848,Federico II,Gornoslaskie Centrum Zdrowia Dziecka Im. Sw. Jana Pawla II Spsk Nr 6 Sum W Katowicach,2
3849,Federico II,Hospital Miri,2
3850,Federico II,SPb SBIH 'City Hospital of Saint Martyr Elizaveta',2
3851,Federico II,Mitoyo General Hospital,2
3852,Federico II,Clinical Projects Research,2
3853,Federico II,Orange County Research Center,2
3854,Federico II,Haikou People's Hospital,2
3855,Federico II,Policlínica Gipuzkoa,2
3856,Federico II,"Kingfisher Cooperative, LLC",2
3857,Federico II,Tolna Megyei Balassa Janos Korhaz,2
3858,Federico II,Hokusetsu General Hospital,2
3859,Federico II,Australian Alzheimer’s Research Foundation,2
3860,Federico II,Hôpital Broca,2
3861,Federico II,Onkologische Schwerpunktpraxis Kurfuerstendamm,2
3862,Federico II,Východoslovenský Onkologický Ústav,2
3863,Federico II,GlaxoSmithKline (United Kingdom),2
3864,Federico II,Ospedale Evangelico Betania,2
3865,Federico II,Clinique Santé Cardio MC,2
3866,Federico II,Third Hospital of Changsha,2
3867,Federico II,Szpital Zakonu Bonifratow Sp. z o.o.,2
3868,Federico II,Queensland Children's Hospital,2
3869,Federico II,CRF - Galway,2
3870,Federico II,Suncoast Clinical Research,2
3871,Federico II,CEMEDIC - Centro de Especialidades Medicas,2
3872,Federico II,Clinic of Endocrinology Independent Public Health Care Centre University Hospital in Kracow,2
3873,Federico II,Keck Hospital of USC,2
3874,Federico II,Monash Health,2
3875,Federico II,Captain James A. Lovell Federal Health Care Center,2
3876,Federico II,Scarborough Cardiology Research,2
3877,Federico II,"Medical Center 'Excelsior', OOD",2
3878,Federico II,Heart and Vascular Research,2
3879,Federico II,Zentrum für Klinische Forschung,2
3880,Federico II,Urasoe General Hospital,2
3881,Federico II,Artemis Hospitals,2
3882,Federico II,CDEC BRASIL - Centro de Desenvolvimento em Estudos Clínicos Brasil,2
3883,Federico II,"CEDOES - Diagnóstico e Pesquisa,Vitória",2
3884,Federico II,Cardioarritmias e Investigación S.C,2
3885,Federico II,Anderson Clinical Research,2
3886,Federico II,Kingston Health Sciences Centre,2
3887,Federico II,St. Elisabethziekenhuis,2
3888,Federico II,Sanatorio Parque,2
3889,Federico II,Sahlgrenska Sjukhuset,2
3890,Federico II,Cardresearch Cardiologia Assistencial e de Pesquisas Ltda,2
3891,Federico II,Iatros International,2
3892,Federico II,All India Institute of Medical Sciences_Delhi,2
3893,Federico II,Crinetics Pharmaceuticals (United States),2
3894,Federico II,Clinical Science Institute,2
3895,Federico II,Montreal General Hospital,2
3896,Federico II,Vijan Cardiac and Critical Care Centre,2
3897,Federico II,McLean Hospital,2
3898,Federico II,Boston Center for Memory,2
3899,Federico II,NZOZ Wroclawskie Centrum Alzheimerowskie,2
3900,Federico II,"Women's Hospital, School of Medicine, Zhejiang University",2
3901,Federico II,Sekino Hospital,2
3902,Federico II,Hospital Virgen del Camino,2
3903,Federico II,Pratia MCM Krakow,2
3904,Federico II,Katholisches Klinikum Mainz,2
3905,Federico II,COI Centro Oncológico Internacional S.A.P.I de C.V.,2
3906,Federico II,Klinika Dětského a Dorostového Lékařstvi,1
3907,Federico II,Republican Clinical Hospital,1
3908,Federico II,Specjalistyczna Praktyka Lekarska dr med. Marek Horynski,1
3909,Federico II,Cook Children's Health Care System,1
3910,Federico II,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1
3911,Federico II,Ochsner Baptist Medical Center,1
3912,Federico II,Michigan CardioVascular Institute,1
3913,Federico II,6160077 - Samodzielny Publiczny Zakład Opieki Zdrowotnej w Puławach,1
3914,Federico II,6430048 - City Clinical Hospital No. 6 named after Karpovicha,1
3915,Federico II,Nort-Western State Medical University n.a. Mechnikov /ID# 207641,1
3916,Federico II,Arthritis and Rheumatology Clinics of Kansas,1
3917,Federico II,ZENTderma /ID# 213959,1
3918,Federico II,"Biomedical Research, LLC",1
3919,Federico II,Ordinace praktického lékaře pro děti a dorost,1
3920,Federico II,Velocity Clin Res Lafayette,1
3921,Federico II,Clinresco Centres (Pty) Ltd,1
3922,Federico II,Sanatorio Trinidad,1
3923,Federico II,Cabinet Médical - Dr THEVENIN /ID# 98720,1
3924,Federico II,Louisiana State University Health Sciences Center Shreveport,1
3925,Federico II,Azienda Ospedaliera - A. Businco - A.S.L. N. 8,1
3926,Federico II,Chiba Aoba Municipal Hospital,1
3927,Federico II,Tokyo Teishin Hospital,1
3928,Federico II,H. U. Quirónsalud Madrid,1
3929,Federico II,Oblastní nemocnice Kladno,1
3930,Federico II,6430054 - City Clinical Hospital No. 4,1
3931,Federico II,Östersunds Hospital,1
3932,Federico II,Advanced Dermatology and Skin Care Centre /ID# 213550,1
3933,Federico II,Derma-B Egeszsegugyi es Szolgaltato Kft. /ID# 217866,1
3934,Federico II,Sc Tvm Med Serv,1
3935,Federico II,Medical Center of Limited Liability Company 'Medical Center 'Consilium Medical',1
3936,Federico II,Centrum Medyczne Pratia Poznan,1
3937,Federico II,Azienda sanitaria universitaria Friuli Centrale (ASU FC),1
3938,Federico II,Centro Hospitalar Universitário Lisboa-Norte,1
3939,Federico II,Investigational Site Number : 7920004,1
3940,Federico II,Care Access - Pebble Beach,1
3941,Federico II,NIHR Patient Recruitment Centre Newcastle,1
3942,Federico II,JSC KE Nat Ctr of Exp and Clin Surg,1
3943,Federico II,"Oviedo Medical Research, LLC",1
3944,Federico II,Accellacare,1
3945,Federico II,Swasthya Diabetes Care,1
3946,Federico II,Aghia Sofia Children hospital,1
3947,Federico II,"II Klinika Chorób Dzieci PAM, Samodzielny Publiczny",1
3948,Federico II,UOC Neurofisiopatologia PO S. Salvatore,1
3949,Federico II,"Louisana Research Center, LLC /ID# 102055",1
3950,Federico II,CHU Amiens-Picardie Site Sud /ID# 98637,1
3951,Federico II,UT Physicians General Medicine,1
3952,Federico II,University Hospital Magdeburg,1
3953,Federico II,Southern California Institute for Research and Education,1
3954,Federico II,University Multiprofile Hospital for Active Treatment -Kaspela,1
3955,Federico II,University of Roma La Sapienza,1
3956,Federico II,2680015 - Chapidze Emergency Cardiology Center,1
3957,Federico II,"Life Medical Center & Research, Inc",1
3958,Federico II,Liaocheng People's Hospital,1
3959,Federico II,East Bay Rheumatology Medical,1
3960,Federico II,BVL Research,1
3961,Federico II,Clinexpert Tatabánya Ltd.,1
3962,Federico II,Kiepury Clinic,1
3963,Federico II,Dr Melinda Gooderham Medicine Professional Corporation /ID# 212133,1
3964,Federico II,Medicentrum 6 s.r.o.,1
3965,Federico II,Fundação Hospitalar São Francisco de Assis,1
3966,Federico II,"KEMRI/CRDR, Siaya, KEMRI Clinical Research Annex",1
3967,Federico II,Metaxa Anticancer Hospital of Piraeus,1
3968,Federico II,Brust-Zentrum Zurich,1
3969,Federico II,Erasmus MC - Sophia Children’s Hospital,1
3970,Federico II,East Coast Institute for Res,1
3971,Federico II,National University Hospital of Iceland,1
3972,Federico II,"Otsuka Pharmaceutical Co., Ltd.",1
3973,Federico II,"Nephrology Associates, P.C.",1
3974,Federico II,St. Marien-Hospital gem. GmbH Hamm,1
3975,Federico II,Sanofi (United States),1
3976,Federico II,P.O. di Monserrato,1
3977,Federico II,Presidio Ospedaliero 'Serbelloni'di Gorgonzola,1
3978,Federico II,Atlanta Gastroenterology Spec /ID# 103619,1
3979,Federico II,Medical Oncology Associates,1
3980,Federico II,AOUP P. Giaccone,1
3981,Federico II,Istituto di Clinica Medica Generale Polo Didattico,1
3982,Federico II,NCL Neurological Centre of Latium,1
3983,Federico II,Oncologie-Hématologie,1
3984,Federico II,6430074 - St. Petersburg State Institution of Healthcare,1
3985,Federico II,6880012 - Institute of Cardiovascular Diseases of Vojvodina,1
3986,Federico II,"The Gastroenterology Group, P.C.",1
3987,Federico II,Aoyama Clinic GI Endoscopy & IBD Center,1
3988,Federico II,NZOZ Vivamed,1
3989,Federico II,Acıbadem Kadıköy Hospital,1
