,Trial ID,End Date,Condition
2664,NCT01471522,2023-05-30,Coronary Artery Disease
2665,NCT01471522,2023-05-30,Heart Diseases
2666,NCT01471522,2023-05-30,Myocardial Ischemia
2667,NCT05116501,2023-05-30,Low Von Willebrand Factor
2668,NCT04242303,2023-05-26,Knee Osteoarthritis
2669,NCT04255407,2023-05-26,ACL Injury
2670,NCT04255407,2023-05-26,Pain
2671,NCT04255407,2023-05-26,Magnetic Field Exposure
2672,NCT03148457,2023-05-24,Ischaemic Stroke
2673,NCT05136170,2023-05-24,Dry Eye Syndrome
2674,NCT05887921,2023-05-24,Penile Cancer
2675,NCT05887921,2023-05-24,Lymph Node Metastasis
2676,NCT05887921,2023-05-24,Sentinel Lymph Node
2677,NCT05887921,2023-05-24,Surgical Complication
2678,NCT04042454,2023-05-23,"Regurgitation, Gastric"
2679,NCT04042454,2023-05-23,Diarrhea
2680,NCT04680637,2023-05-22,Active Systemic Lupus Erythematosus
2681,NCT05130762,2023-05-22,Catheter Related Complication
2682,NCT05130762,2023-05-22,Vascular Access Site Management
2683,NCT05130762,2023-05-22,Disinfecting Cap
2684,NCT04637984,2023-05-21,Stroke
2685,NCT04637984,2023-05-21,Rehabilitation
2686,NCT05271331,2023-05-20,"Pain, Postoperative"
2687,NCT05271331,2023-05-20,Opioid Use
2688,NCT05271331,2023-05-20,"Anesthesia, Local"
2689,NCT05271331,2023-05-20,Surgery
2690,NCT03832946,2023-05-17,Idiopathic Pulmonary Fibrosis (IPF)
2691,NCT04639310,2023-05-16,Epilepsy
2692,NCT04639310,2023-05-16,Epilepsy in Children
2693,NCT04639310,2023-05-16,Epilepsy
2694,NCT04639310,2023-05-16,Seizure
2695,NCT04639310,2023-05-16,Disease
2696,NCT04639310,2023-05-16,Brain Diseases
2697,NCT04639310,2023-05-16,Central Nervous System Diseases
2698,NCT04639310,2023-05-16,Nervous System Diseases
2699,NCT04639310,2023-05-16,Epileptic Syndromes
2700,NCT05420961,2023-05-16,"Pneumonia, Pneumococcal"
2701,NCT05284305,2023-05-15,Desmoid
2702,NCT05284305,2023-05-15,Desmoid
2703,NCT05284305,2023-05-15,Abdominal
2704,NCT05284305,2023-05-15,Pregnancy Loss
2705,NCT05284305,2023-05-15,Pregnancy Complications
2706,NCT03008187,2023-05-11,Acute Myeloid Leukemia
2707,NCT03398148,2023-05-11,Ulcerative Colitis (UC)
2708,NCT03455517,2023-05-11,Chronic Myeloid Leukemia
2709,NCT03860935,2023-05-11,Amyloidosis
2710,NCT03860935,2023-05-11,Amyloid Cardiomyopathy
2711,NCT03860935,2023-05-11,Transthyretin Amyloidosis
2712,NCT03860935,2023-05-11,Cardiomyopathies
2713,NCT03860935,2023-05-11,Heart Diseases
2714,NCT03890289,2023-05-10,Follicular Lymphoma
2715,NCT04664140,2023-05-09,Percutaneous Coronary Intervention
2716,NCT04664140,2023-05-09,Coronary Physiology
2717,NCT05712564,2023-05-09,Rare Diseases
2718,NCT05712564,2023-05-09,Fatigue
2719,NCT05712564,2023-05-09,Insomnia
2720,NCT05712564,2023-05-09,Depression
2721,EUPAS42504,2023-05-08,SARS-CoV-2 infection
2722,EUPAS42504,2023-05-08,Immunocompromised
2723,EUPAS42504,2023-05-08,Allergic conditions
2724,EUPAS42504,2023-05-08,"Pregnancy, puerperium and perinatal conditions"
2725,NCT04444895,2023-05-05,Angioedema
2726,NCT04522180,2023-05-04,Acromegaly
2727,NCT02155647,2023-05-03,"Carcinoma, Merkel Cell"
2728,NCT03648541,2023-05-03,"Colitis, Ulcerative"
2729,NCT05099640,2023-05-03,Phenylketonuria
2730,NCT05476081,2023-05-03,Ischemic Stroke
2731,NCT05476081,2023-05-03,TIA
2732,NCT04076462,2023-05-02,Acromegaly
2733,NCT03962335,2023-05-01,Behcet Syndrome
2734,NCT04424992,2023-05-01,Sars-CoV2
2735,NCT04759846,2023-05-01,BRAF V600 Mutation
2736,NCT04759846,2023-05-01,Unresectable Melanoma
2737,NCT04759846,2023-05-01,Metastatic Melanoma
2738,NCT04759846,2023-05-01,Hepatic Impairment
2739,NCT05854264,2023-05-01,Microbial Colonization
2740,ISRCTN12756197,2023-04-30,Inspired oxygen fraction as a predictor of need for surfactant in respiratory distress syndrome of preterm neonates
2741,NCT04785547,2023-04-30,"ALL, Childhood"
2742,NCT04785547,2023-04-30,Minimal Residual Disease
2743,NCT05866042,2023-04-30,Major Depressive Disorder
2744,NCT05871255,2023-04-30,Genitourinary Syndrome of Menopause
2745,NCT06218225,2023-04-30,Immunomodulation
2746,NCT06218225,2023-04-30,Respiratory Tract
2747,NCT06218225,2023-04-30,"Infection, Upper (Acute)"
2748,NCT03514901,2023-04-29,Melanoma Metastatic
2749,NCT03514901,2023-04-29,BRAF V600 Mutation
2750,NCT05851482,2023-04-29,Gastro Esophageal Reflux
2751,NCT03579966,2023-04-28,"Myasthenia Gravis, MuSK"
2752,NCT03085810,2023-04-27,"Multiple Sclerosis, Relapsing-Remitting"
2753,NCT03132636,2023-04-27,"Carcinoma, Basal Cell"
2754,NCT03292484,2023-04-27,Peanut Allergy
2755,NCT05440682,2023-04-27,Acquired Brain Injury
2756,NCT05440682,2023-04-27,Traumatic Brain Injury
2757,NCT05440682,2023-04-27,Ischemic Stroke
2758,NCT05440682,2023-04-27,Hemorrhagic Stroke
2759,NCT04074330,2023-04-26,"Lymphoma, Non-Hodgkin"
2760,NCT04735926,2023-04-25,Vitamin D Deficiency
2761,NCT04735926,2023-04-25,Vitamin D Insufficiency
2762,NCT03257267,2023-04-20,Squamous Cell Carcinoma (SCC)
2763,NCT03257267,2023-04-20,"Recurrent or Metastatic, Platinum-refractory Cervical Cancer"
2764,NCT03428100,2023-04-20,Atopic Dermatitis
2765,NCT05141123,2023-04-20,Renal Aneurysm
2766,NCT05141123,2023-04-20,Aneurysm Thoracic
2767,NCT05141123,2023-04-20,Aneurysm Abdominal
2768,NCT02399085,2023-04-19,Diffuse Large B-cell Lymphoma
2769,NCT03942211,2023-04-19,Sarcoidosis-associated Pulmonary Hypertension
2770,NCT04908215,2023-04-19,Epidermolysis Bullosa Simplex
2771,NCT04908215,2023-04-19,"Epidermolysis Bullosa, Junctional"
2772,NCT04908215,2023-04-19,Epidermolysis Bullosa Dystrophica
2773,NCT04908215,2023-04-19,Kindler Syndrome
2774,NCT03644186,2023-04-14,Breast Cancer
2775,NCT03644186,2023-04-14,Estrogen Receptor Positive Tumor
2776,NCT03644186,2023-04-14,HER2-positive Breast Cancer
2777,NCT04583423,2023-04-13,Nonalcoholic Steatohepatitis
2778,NCT04833855,2023-04-13,Chronic Spontaneous Urticaria
2779,NCT04084678,2023-04-12,PAH
2780,NCT04084678,2023-04-12,Pulmonary Hypertension
2781,NCT04084678,2023-04-12,Hypertension
2782,NCT04084678,2023-04-12,Connective Tissue Disease
2783,NCT04084678,2023-04-12,Familial Primary Pulmonary Hypertension
2784,NCT04084678,2023-04-12,Vascular Diseases
2785,NCT04084678,2023-04-12,Cardiovascular Diseases
2786,NCT04084678,2023-04-12,"Hypertension, Pulmonary"
2787,NCT04084678,2023-04-12,Lung Diseases
2788,NCT04084678,2023-04-12,Respiratory Tract Disease
2789,NCT04084678,2023-04-12,Pulmonary Arterial Hypertension
2790,NCT04044573,2023-04-05,Benign Prostatic Hyperplasia
2791,NCT04044573,2023-04-05,Lower Urinary Tract Symptoms
2792,NCT03446001,2023-04-04,Alzheimer Disease
2793,NCT03934216,2023-04-04,Ulcerative Colitis
2794,NCT04398238,2023-04-04,Anemia (Diagnosis)
2795,NCT04398238,2023-04-04,Iron-deficiency
2796,NCT04398238,2023-04-04,Transfusion
2797,NCT04398238,2023-04-04,Arthroplasty
2798,NCT04578548,2023-04-04,Autosomal Dominant Polycystic Kidney Disease
2799,NCT02349906,2023-04-01,Primary Immunodeficiencies
2800,NCT02349906,2023-04-01,Inborn Errors of Metabolism
2801,NCT02349906,2023-04-01,Haemoglobinopathies
2802,NCT02349906,2023-04-01,Bone Marrow Failure Syndromes
2803,NCT03896074,2023-04-01,Non-small-cell Lung Cancer Patients
2804,NCT05414084,2023-04-01,Individual Variability in (Poly)Phenol Metabolism
2805,NCT05414084,2023-04-01,Cardiometabolic Health
2806,NCT05724069,2023-04-01,Chronic Intestinal Pseudo-obstruction
2807,NCT03003325,2023-03-31,Polycythemia Vera
2808,NCT03148795,2023-03-31,Prostate Cancer
2809,NCT03185819,2023-03-31,"Depressive Disorder, Major"
2810,NCT03288844,2023-03-31,Limbal Stem Cell Deficiency Due to Ocular Burn
2811,NCT04071704,2023-03-31,Sarcoma
2812,NCT04300868,2023-03-31,Multiple Sclerosis
2813,NCT04607668,2023-03-31,Colorectal Cancer Metastatic
2814,NCT04607668,2023-03-31,Myelosuppression-Adult
2815,NCT04607668,2023-03-31,Chemotherapeutic Toxicity
2816,NCT04744389,2023-03-31,End Stage Liver DIsease
2817,NCT04811365,2023-03-31,Systemic Mast Cell Activation
2818,NCT04811365,2023-03-31,KIT D816V Mutation
2819,NCT05550181,2023-03-31,Mechanical Ventilation Complication
2820,NCT05550181,2023-03-31,Surgery
2821,NCT05550181,2023-03-31,Pulmonary Complication
2822,NCT05550181,2023-03-31,Intraoperative Complications
2823,NCT05550181,2023-03-31,Postoperative Complications
2824,NCT05615883,2023-03-31,Melanoma
2825,NCT05753540,2023-03-31,Chronic Non-specific Neck Pain
2826,NCT05855148,2023-03-31,Lung Transplant
2827,NCT05855148,2023-03-31,Right Ventricular Failure
2828,NCT04817735,2023-03-30,Bicuspid Aortic Valve
2829,NCT04930380,2023-03-30,Multiple Sclerosis
2830,NCT05020665,2023-03-30,Nucleophosmin 1-mutated Acute Myeloid Leukemia
2831,NCT05299580,2023-03-30,Melanoma
2832,NCT04227951,2023-03-29,Gastric Cancer
2833,NCT02603432,2023-03-28,Urothelial Cancer
2834,NCT03306264,2023-03-28,Myelodysplastic Syndromes
2835,NCT03306264,2023-03-28,Chronic Myelomonocytic Leukemia
2836,NCT03306264,2023-03-28,Acute Myeloid Leukemia
2837,NCT03701763,2023-03-27,Psoriasis
2838,NCT02066285,2023-03-24,Solitary Fibrous Tumor
2839,NCT02066285,2023-03-24,Extraskeletal Myxoid Chondrosarcoma
2840,NCT03719313,2023-03-24,Hepatitis Delta Virus
2841,NCT03768505,2023-03-24,Follicular Lymphoma (FL)
2842,NCT03768505,2023-03-24,Non Hodgkin Lymphoma
2843,NCT03768505,2023-03-24,Marginal Zone Lymphoma
2844,NCT03988114,2023-03-23,Metastatic Breast Cancer
2845,NCT04254978,2023-03-23,Essential Thrombocythemia
2846,NCT05870826,2023-03-21,Non-specific Low Back Pain
2847,NCT04745832,2023-03-20,Follicular Lymphoma (FL)
2848,NCT04745832,2023-03-20,Non Hodgkin Lymphoma
2849,NCT04745832,2023-03-20,Marginal Zone Lymphoma
2850,NCT04990388,2023-03-20,Glycogen Storage Disease Type III
2851,NCT05767801,2023-03-14,Rheumatoid Arthritis
2852,NCT05256134,2023-03-10,Alzheimers Disease
2853,NCT01543698,2023-03-09,Solid Tumors Harboring a BRAF V600 Mutation
2854,NCT04295902,2023-03-08,Airway Management
2855,NCT04676334,2023-03-08,Metastatic Castration-Resistant Prostate Cancer
2856,NCT04676334,2023-03-08,Ovarian Cancer
2857,NCT04676334,2023-03-08,Epithelial Ovarian Cancer
2858,NCT04676334,2023-03-08,Fallopian Tube Cancer
2859,NCT04676334,2023-03-08,Peritoneal Cancer
2860,NCT04676334,2023-03-08,Other Solid Tumor
2861,NCT05499273,2023-03-08,Tracheostomy Complication
2862,NCT05499273,2023-03-08,Anesthesia
2863,NCT04374253,2023-03-06,Alzheimer Disease
2864,NCT02625324,2023-03-02,"Aortic Aneurysm, Thoracic"
2865,NCT03348722,2023-03-01,Prostatic Neoplasm
2866,NCT03434314,2023-03-01,"Aortic Aneurysm, Thoracoabdominal"
2867,NCT03773302,2023-03-01,Advanced Cholangiocarcinoma
2868,NCT03773302,2023-03-01,FGFR2 Gene Mutation
2869,NCT03876795,2023-03-01,"Osteoarthritis, Knee"
2870,NCT04023396,2023-03-01,Ulcerative Colitis
2871,NCT04300101,2023-03-01,Diffuse Large B Cell Lymphoma
2872,EUPAS31282,2023-02-28,Breast cancer
2873,EUPAS31282,2023-02-28,Malignant melanoma
2874,EUPAS31282,2023-02-28,"Additional Medical Condition(s): Melanoma, lung, head and neck, urogenital, breast cancer and, in addition, other solid tumors characterized by the presence of microsatellite instability (MSI-high), treated with immunocheckpoint inhibitors (ICI) irrespective of treatment schedule. It is possible to include patients treated with Immunotherapy in a compassionate use setting."
2875,NCT02837627,2023-02-28,Gastroesophageal Reflux
2876,NCT03779789,2023-02-28,Major Depressive Disorder
2877,NCT03890731,2023-02-28,Solid Cancer
2878,NCT04177108,2023-02-28,Triple-Negative Breast Cancer
2879,NCT04219826,2023-02-28,Hypertrophic Cardiomyopathy (HCM)
2880,NCT04282616,2023-02-28,Chronic Kidney Disease Stage 5 on Dialysis
2881,NCT04435964,2023-02-28,Melanoma
2882,NCT04435964,2023-02-28,Lung Cancer
2883,NCT04435964,2023-02-28,Head and Neck Cancer
2884,NCT04435964,2023-02-28,Urogenital Neoplasms
2885,NCT04435964,2023-02-28,Breast Cancer
2886,NCT05273177,2023-02-28,Chronic Ankle Instability
2887,NCT05420805,2023-02-28,Rett Syndrome
2888,NCT05420805,2023-02-28,Dysbiosis
2889,NCT05420805,2023-02-28,Epilepsy
2890,NCT05420805,2023-02-28,Quality of Life
2891,NCT05642559,2023-02-28,Chronic Cough
2892,NCT04119843,2023-02-27,Known or Suspected Focal Liver Lesions and Severe Renal Impairment
2893,NCT06152965,2023-02-27,Bariatric Surgery
2894,NCT04773080,2023-02-25,Acute Kidney Injury
2895,NCT04773080,2023-02-25,Postoperative Complications
2896,ISRCTN55371988,2023-02-23,COVID-19 (SARS-CoV-2 infection) in health-care-workers and oncological/immunocompromised patients
2897,NCT03329092,2023-02-23,Complicated Intra-abdominal Infection
2898,NCT03329092,2023-02-23,Hosptial Acquired Pneumonia
2899,NCT03329092,2023-02-23,Ventilator Associated Pneumonia
2900,NCT04012931,2023-02-23,HIV
2901,NCT04145700,2023-02-23,Synovial Sarcoma
2902,NCT04546425,2023-02-18,Pneumococcal Disease
2903,NCT03444870,2023-02-17,Alzheimer Disease
2904,NCT03552692,2023-02-17,T-Cell Lymphoma Relapsed
2905,NCT03552692,2023-02-17,T-Cell Lymphoma Refractory
2906,NCT04483856,2023-02-16,Radiodermatitis
2907,NCT04483856,2023-02-16,"Dermatitis, Radiation-Induced"
2908,NCT02927249,2023-02-15,Node Positive HER2 Negative Breast Cancer
2909,NCT03642821,2023-02-15,Intracranial Aneurysm
2910,NCT05016024,2023-02-15,Irritable Bowel Syndrome
2911,NCT05688189,2023-02-15,Oxygen Therapy
2912,NCT05811689,2023-02-15,Multiple Sclerosis
2913,NCT05811689,2023-02-15,Endocrine System Diseases
2914,NCT05811689,2023-02-15,Neurologic Disorder
2915,NCT03743051,2023-02-13,Cachexia
2916,NCT03743051,2023-02-13,Cancer
2917,NCT03743051,2023-02-13,Non Small Cell Lung Cancer
2918,NCT04431453,2023-02-10,COVID-19
2919,NCT04552899,2023-02-10,Idiopathic Pulmonary Fibrosis
2920,NCT04594707,2023-02-10,Idiopathic Pulmonary Fibrosis
2921,NCT03472560,2023-02-09,Non-Small Cell Lung Cancer
2922,NCT03472560,2023-02-09,Urothelial Cancer
2923,NCT01320085,2023-02-06,BRAF or NRAS Mutant Metastatic Melanoma
2924,NCT04611399,2023-02-05,Stress Related Disorder
2925,NCT03565991,2023-02-03,Locally Advanced or Metastatic Solid Tumors
2926,NCT03565991,2023-02-03,"Genes, BRCA 1"
2927,ISRCTN15228105,2023-02-01,Intraoperative and postoperative pain control in laparoscopic abdominal surgery
2928,NCT01264315,2023-02-01,Multiple Myeloma
2929,NCT02371161,2023-02-01,Non Hodgkin Lymphoma
2930,NCT02398825,2023-02-01,Chronic Myeloid Leukemia
2931,NCT02398825,2023-02-01,Chronic Phase
2932,NCT02398825,2023-02-01,Adults
2933,NCT02869399,2023-02-01,Cancer of Head and Neck
2934,NCT03824691,2023-02-01,Bladder Carcinoma
2935,NCT04287530,2023-02-01,"Dyslexia, Developmental"
2936,NCT04460807,2023-02-01,Ovarian Cancer
2937,NCT04666246,2023-02-01,Acute Respiratory Failure
2938,NCT04666246,2023-02-01,Covid19
2939,NCT05792787,2023-02-01,Apical Periodontitis
2940,NCT05792787,2023-02-01,Atherosclerotic Cardiovascular Disease
2941,ISRCTN18375975,2023-01-31,Medication-related osteonecrosis of the jaws (MRONJ) in osteoporosis patients
2942,NCT02872753,2023-01-31,Meniscectomy
2943,NCT03542461,2023-01-31,Squamous Non-small Cell Lung Cancer
2944,NCT03678506,2023-01-31,Venous Thromboembolism
2945,NCT03678506,2023-01-31,Anticoagulants
2946,NCT04387175,2023-01-31,Class III Malocclusion
2947,NCT04387175,2023-01-31,"Dentofacial Anomalies, Including Malocclusion"
2948,NCT04506320,2023-01-31,Multiple Myeloma
2949,NCT04506320,2023-01-31,Stem Cell Transplant
2950,NCT04656262,2023-01-31,Soft Tissue Sarcoma Adult
2951,NCT04766983,2023-01-31,Ventilator Associated Pneumonia
2952,NCT04766983,2023-01-31,Covid19
2953,NCT05291637,2023-01-31,"Stroke, Acute Ischemic"
2954,NCT03215511,2023-01-30,Solid Tumors Harboring NTRK Fusion
2955,NCT04270747,2023-01-30,Neovascular (Wet) Age-related Macular Degeneration (AMD)
2956,NCT05228444,2023-01-28,Circadian Rhythm Disorders
2957,NCT02823145,2023-01-27,Dravet Syndrome
2958,NCT03921541,2023-01-27,Arginase I Deficiency
2959,NCT03921541,2023-01-27,Hyperargininemia
2960,NCT03313180,2023-01-25,"Lung Diseases, Interstitial"
2961,NCT03845491,2023-01-25,Ischemic Stroke
2962,NCT04524455,2023-01-24,Acute Lymphoblastic Leukemia
2963,NCT04891133,2023-01-23,COVID-19
2964,NCT04891133,2023-01-23,Emerging Infectious Disease
2965,NCT05796128,2023-01-23,"Respiratory Distress Syndrome, Newborn"
2966,NCT03457987,2023-01-21,Acute Kidney Injury
2967,NCT03623659,2023-01-20,Infertility
2968,NCT05802498,2023-01-20,Parkinson Disease
2969,NCT05802498,2023-01-20,Physical Disability
2970,NCT04052997,2023-01-19,Relapsed Hodgkin Lymphoma
2971,NCT04052997,2023-01-19,Refractory Hodgkin Lymphoma
2972,NCT04592419,2023-01-19,Macular Edema
2973,NCT04592419,2023-01-19,Retinal Vein Occlusion
2974,NCT04311710,2023-01-18,Tumor
2975,NCT03125902,2023-01-17,Triple-Negative Breast Cancer
2976,NCT03794609,2023-01-13,Achondroplasia
2977,NCT05082844,2023-01-13,Cuff Rotator Syndrome
2978,NCT04252846,2023-01-12,Idiopathic Generalized Epilepsy
2979,NCT04252846,2023-01-12,Partial Onset Seizures
2980,NCT04252846,2023-01-12,Generalised Tonic-Clonic Seizures
2981,NCT05750420,2023-01-12,Anxiety
2982,NCT05750420,2023-01-12,Depression
2983,NCT05750420,2023-01-12,Emotional Stress
2984,NCT05750420,2023-01-12,Quality of Life
2985,NCT05750420,2023-01-12,Self-care
2986,NCT05750420,2023-01-12,Chronic Cardiovascular Disease
2987,NCT04197986,2023-01-11,Upper Tract Urothelial Carcinomas
2988,NCT04197986,2023-01-11,Urothelial Bladder Cancer
2989,NCT03782376,2023-01-10,Crohn Disease
2990,NCT03871829,2023-01-10,Multiple Myeloma
2991,NCT03525574,2023-01-09,Cystic Fibrosis
2992,NCT04655495,2023-01-09,Celiac Disease
2993,NCT04714021,2023-01-07,Gastrostomy
2994,NCT02510300,2023-01-06,Hepatitis C Virus Infection
2995,NCT03337724,2023-01-04,Breast Cancer
2996,NCT04430400,2023-01-04,Acute Aortic Syndrome
2997,NCT01953926,2023-01-02,Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations
2998,NCT02983513,2023-01-01,Premature Birth
2999,NCT03379441,2023-01-01,Non Small Cell Lung Cancer Patients
3000,NCT03875976,2023-01-01,Hip Osteoarthritis
3001,NCT03875976,2023-01-01,Arthropathy of Hip
3002,NCT04689347,2023-01-01,Metastatic Colorectal Cancer
3003,NCT04849039,2023-01-01,Mechanical Ventilation
3004,NCT05173701,2023-01-01,Parkinson's Disease
3005,NCT05261867,2023-01-01,Diabetes Mellitus
3006,NCT05261867,2023-01-01,Acute Coronary Syndrome
3007,NCT05311501,2023-01-01,Psoriasis Vulgaris
3008,NCT05311501,2023-01-01,Psoriasis
3009,NCT05311501,2023-01-01,Periodontitis
3010,NCT06062771,2023-01-01,Cataract
3011,2019-001941-41,2022-12-31,Acute kidney infection
3012,ISRCTN13964911,2022-12-31,Refined diagnosis of different types of neonatal respiratory failure
3013,ISRCTN51927471,2022-12-31,Ovarian tumours
3014,ISRCTN67194859,2022-12-31,Multiple sclerosis
3015,ISRCTN71842827,2022-12-31,Right-sided colon cancer
3016,ISRCTN95404312,2022-12-31,Dental implants
3017,NCT01194570,2022-12-31,"Multiple Sclerosis, Primary Progressive"
3018,NCT01247324,2022-12-31,Relapsing Multiple Sclerosis
3019,NCT01343459,2022-12-31,Local Neoplasm Recurrence
3020,NCT01343459,2022-12-31,Toxicity
3021,NCT02678871,2022-12-31,Aortic Valve Disorder
3022,NCT02908308,2022-12-31,Out-of-hospital Cardiac Arrest
3023,NCT03154255,2022-12-31,"Obesity, Childhood"
3024,NCT03339063,2022-12-31,Nontuberculous Mycobacteria
3025,NCT03572166,2022-12-31,Diabetes Insipidus
3026,NCT03572166,2022-12-31,"Polydipsia, Primary"
3027,NCT03725410,2022-12-31,Vulvovaginal Atrophy
3028,NCT03806816,2022-12-31,Hypoxic-Ischemic Encephalopathy
3029,NCT03806816,2022-12-31,Cell Damage
3030,NCT03806816,2022-12-31,Asphyxia Perinatal
3031,NCT03992170,2022-12-31,Myeloma Multiple
3032,NCT04174482,2022-12-31,Flat Feet
3033,NCT04400110,2022-12-31,Urinary Tract Infections
3034,NCT04451902,2022-12-31,Rare Diseases
3035,NCT04583306,2022-12-31,Covid19
3036,NCT04651569,2022-12-31,Osteosarcoma Recurrent
3037,NCT04677257,2022-12-31,ST Elevation Myocardial Infarction
3038,NCT04693390,2022-12-31,Emergence Delirium
3039,NCT04746599,2022-12-31,Critical Limb Ischemia
3040,NCT04746599,2022-12-31,Peripheral Arterial Disease - PAD
3041,NCT04746599,2022-12-31,Ischemic Ulcer
3042,NCT04746599,2022-12-31,Ischemic Feet
3043,NCT04746599,2022-12-31,Diabetic Foot
3044,NCT04746599,2022-12-31,"Scleroderma, Systemic"
3045,NCT04746599,2022-12-31,Thrombo Angiitis Obliterans
3046,NCT04746599,2022-12-31,Ischemic Leg
3047,NCT04751890,2022-12-31,Peripheral Artery Disease
3048,NCT04771468,2022-12-31,Ischemic Stroke
3049,NCT04811755,2022-12-31,Emergency Surgery
3050,NCT04844697,2022-12-31,Multiple Osteochondroma
3051,NCT04844697,2022-12-31,Osteogenesis Imperfecta
3052,NCT04844697,2022-12-31,Ollier Disease
3053,NCT04844697,2022-12-31,Maffucci Syndrome
3054,NCT04847791,2022-12-31,Covid19
3055,NCT04877119,2022-12-31,Gestational Diabetes
3056,NCT04877119,2022-12-31,Gestational Hypertension
3057,NCT04877119,2022-12-31,Pre-Eclampsia
3058,NCT04991883,2022-12-31,"Sarcoma,Soft Tissue"
3059,NCT05078359,2022-12-31,Prostate Cancer
3060,NCT05101720,2022-12-31,"Arrhythmias, Cardiac"
3061,NCT05101720,2022-12-31,Venous Puncture
3062,NCT05101720,2022-12-31,Implantable Defibrillator User
3063,NCT05101720,2022-12-31,Pacemaker Complication
3064,NCT05101720,2022-12-31,Vascular Access Complication
3065,NCT05101720,2022-12-31,Fluoroscopy
3066,NCT05101720,2022-12-31,Adverse Effect
3067,NCT05156333,2022-12-31,GBS Rectovaginal Colonization
3068,NCT05156333,2022-12-31,Neonatal Sepsis
3069,NCT05213832,2022-12-31,Subarachnoid Hemorrhage
3070,NCT05213832,2022-12-31,Aneurysmal Subarachnoid Hemorrhage
3071,NCT05231018,2022-12-31,COVID-19
3072,NCT05231018,2022-12-31,Mental Health Impairment
3073,NCT05231018,2022-12-31,Telemedicine
3074,NCT05306951,2022-12-31,Craniocerebral Trauma
3075,NCT05306951,2022-12-31,Platelet Aggregation Inhibitors
3076,NCT05322031,2022-12-31,Schizophrenia
3077,NCT05322031,2022-12-31,Myelin Degeneration
3078,NCT05322031,2022-12-31,Cognition Disorder
3079,NCT05472233,2022-12-31,Gingival Recession
3080,NCT05769686,2022-12-31,Renal Failure Chronic
3081,NCT05769686,2022-12-31,Surgery
3082,NCT05785260,2022-12-31,Health Behavior
3083,NCT05785260,2022-12-31,Healthy Lifestyle
3084,NCT05788133,2022-12-31,Neurodegenerative Diseases
3085,NCT05788133,2022-12-31,Stroke
3086,NCT05803356,2022-12-31,Immunity Disorders
3087,NCT05803356,2022-12-31,Inborn Errors of Immunity
3088,NCT05810441,2022-12-31,Celiac Disease
3089,NCT05825833,2022-12-31,Acute Graft-versus-host Disease
3090,NCT05957692,2022-12-31,Hypovitaminosis D
3091,NCT05966909,2022-12-31,Catheter Related Complication
3092,NCT05972980,2022-12-31,Infections
3093,NCT05972980,2022-12-31,Critical Illness
3094,NCT05972980,2022-12-31,Superinfection
3095,NCT05972980,2022-12-31,"Organ Failure, Multiple"
3096,NCT05972980,2022-12-31,Ventilator Associated Pneumonia
3097,NCT05972980,2022-12-31,Septic Shock
3098,NCT06546228,2022-12-31,Acute Myocardial Infarction
3099,NCT06546228,2022-12-31,Revascularization
3100,NCT01412333,2022-12-30,Relapsing Multiple Sclerosis
3101,NCT03067662,2022-12-30,Gestational Diabetes Mellitus in Pregnancy
3102,NCT04476199,2022-12-30,Acute Myeloid Leukemia
3103,NCT04627896,2022-12-30,Prostate Cancer Stage I
3104,NCT04632173,2022-12-30,Head and Neck Cancer
3105,NCT04632173,2022-12-30,Covid19
3106,NCT04681534,2022-12-30,Parkinson Disease
3107,NCT05132933,2022-12-30,Respiratory Failure
3108,NCT05803122,2022-12-30,Mild Cognitive Impairment
3109,NCT05803122,2022-12-30,Alzheimer Disease
3110,NCT04173494,2022-12-29,Primary Myelofibrosis
3111,NCT04173494,2022-12-29,Post-polycythemia Vera Myelofibrosis
3112,NCT04173494,2022-12-29,Post-essential Thrombocythemia Myelofibrosis
3113,NCT04604132,2022-12-29,Gastric Adenocarcinoma
3114,NCT04417036,2022-12-28,Acute Respiratory Distress Syndrome
3115,NCT03890120,2022-12-23,Primary Sclerosing Cholangitis
3116,NCT03468985,2022-12-21,Metastatic Lung Non-Squamous Non-Small Cell Carcinoma
3117,NCT03468985,2022-12-21,Recurrent Lung Non-Squamous Non-Small Cell Carcinoma
3118,NCT03468985,2022-12-21,Stage IV Lung Non-Small Cell Cancer AJCC v7
3119,NCT03016312,2022-12-20,"Prostatic Neoplasms, Castration-Resistant"
3120,NCT03317496,2022-12-20,Non-small Cell Lung Cancer
3121,NCT03317496,2022-12-20,Urothelial Cancer
3122,NCT03335488,2022-12-20,Urea Cycle Disorder
3123,NCT03983694,2022-12-20,Cerebral Haemodynamics
3124,NCT03983694,2022-12-20,Erythrocyte Transfusion
3125,NCT04955990,2022-12-20,Pulmonary Arterial Hypertension
3126,NCT04058366,2022-12-16,Cystic Fibrosis
3127,NCT04199494,2022-12-16,Surgical Site Infection
3128,NCT04199494,2022-12-16,Antibiotic Resistant Infection
3129,NCT05803278,2022-12-16,Learning Disorder
3130,NCT04224441,2022-12-15,Glioblastoma Multiforme
3131,NCT04224441,2022-12-15,MGMT-Unmethylated Glioblastoma
3132,NCT04323878,2022-12-15,Early CPAP Ventilation in COVID-19 Patients
3133,NCT04326075,2022-12-15,CPAP Ventilation
