,Investigator,Number of Studies
21842,maria eugenia valdez,1
21843,suk chon,1
21844,melissa gonzales,1
21845,alex west,1
21846,martin j. swaans,1
21847,roneka ravenell,1
21848,martin hogg,1
21849,federico filippi,1
21850,richard glover,1
21851,giada pauletto,1
21852,marco gemma,1
21853,natasha van eijkelenburg,1
21854,sh subramony,1
21855,andrea martinuzzi,1
21856,dalibor pastucha,1
21857,andres j. m. ferreri,1
21858,emma cacciola,1
21859,cristina pernaut,1
21860,rose roche,1
21861,jose m. sanchez de toledo,1
21862,c.a.r. lok,1
21863,francesco grigoletto,1
21864,yaariv khaykin,1
21865,harm haak,1
21866,amanda cashen,1
21867,jean pierre becquemin,1
21868,n. goemans,1
21869,amy evans,1
21870,howard trachtman,1
21871,mariella girasoli,1
21872,cangemi roberto,1
21873,panu mentula,1
21874,fanny rialland,1
21875,martin bauer,1
21876,romana taccori,1
21877,sabina zambon,1
21878,shelley johnson,1
21879,veronica lodolini,1
21880,andrea pavei,1
21881,olaf witt,1
21882,tromp jacqueline,1
21883,marco ferrone,1
21884,obi ezennia,1
21885,giulio stefanino,1
21886,ilkka parviainen,1
21887,puneeth iyengar,1
21888,anjan dhar,1
21889,eric witele,1
21890,juan montoro,1
21891,franco barzizza,1
21892,kiri a. cook,1
21893,abhirami hallock,1
21894,massimo conio,1
21895,david sharp,1
21896,helen k. chew,1
21897,sik yin tan,1
21898,manuel ferrer marquez,1
21899,manuel molina,1
21900,amy shapiro,1
21901,mark tannenbaum,1
21902,jane vines,1
21903,maura arosio,1
21904,francesco rundo,1
21905,carlo miniussi,1
21906,laura zoppini,1
21907,maurizia gambacorta,1
21908,masud khandaker,1
21909,elisa pulczynski,1
21910,susana segura matute,1
21911,suneel udani,1
21912,michelle rheault,1
21913,hyerim hong,1
21914,juan ignacio marín,1
21915,lutz fischer,1
21916,michael mullerad,1
21917,maria jose de miguel,1
21918,paul thorton,1
21919,givi kurashvili,1
21920,john t ning,1
21921,riccardo rosati,1
21922,yoshihito shima,1
21923,adriana rodrigues,1
21924,ionela pascanu,1
21925,ilaria tanasi,1
21926,alice guarano,1
21927,lincoln hernandez,1
21928,henning jann,1
21929,areena swarup,1
21930,teri brentnall,1
21931,seyda baydogan,1
21932,skyler b. johnson,1
21933,laura gesell,1
21934,elizabeth williamson,1
21935,vanessa petry helena,1
21936,anders wanhainen,1
21937,pietro leccese,1
21938,tsvetkov,1
21939,slezak,1
21940,minarik,1
21941,roberto frediani,1
21942,müller,1
21943,ravleen kaur,1
21944,minfeng chen,1
21945,silvia picciolini,1
21946,stefan hammerschmidt,1
21947,philippe cuypers,1
21948,hongbing ma,1
21949,bertrand baujat,1
21950,abiola abiola ibraheem,1
21951,gabriela guaygua loayza,1
21952,bing zhao,1
21953,jessica grosjean,1
21954,rakesh kapoor,1
21955,yafei wang,1
21956,stephen carl blank,1
21957,vicente santa-maria lopez,1
21958,juliana de souza,1
21959,razvan ionitescu,1
21960,guido poggi,1
21961,jane meisel,1
21962,yara lechanteur,1
21963,luciana bella quero,1
21964,ida sillesen,1
21965,robert godfrey perry,1
21966,bioparco delle intelligenze e delle neuro-fragilità,1
21967,vasiliki pappa,1
21968,giuliana decorti,1
21969,ernest nadal alforja,1
21970,cinzia perlini,1
21971,hideki maeda,1
21972,valeria bignamini,1
21973,arianna palmieri,1
21974,vincent g. gregoire,1
21975,isa cerveri,1
21976,gopi ramadurai,1
21977,betti schaefer,1
21978,james white,1
21979,victor sung,1
21980,rozalina dimitrova,1
21981,leonardo kapural,1
21982,endrj menardi,1
21983,anne-isabelle bertozzi-salamon,1
21984,rosa álvarez,1
21985,athanasios karampeazis,1
21986,gerald g. wulf,1
21987,friedegund meier,1
21988,hillary overholser,1
21989,gere sunder-plassmann,1
21990,danielle bevis,1
21991,andrea p rossi,1
21992,duncan purtill,1
21993,mileva lovric jovanovic,1
21994,jose m vazquez,1
21995,antonio gonzález martín,1
21996,ioan coman,1
21997,graziella plank,1
21998,orlando mariantonia,1
21999,michal guindy,1
22000,sasha lupichuk,1
22001,min hwan kim,1
22002,helena earl,1
22003,daniar osmonov,1
22004,franco picciotto,1
22005,haroon faraz,1
22006,alexandra mccombs,1
22007,mary connolly,1
22008,jacob van eck,1
22009,tracey cosier,1
22010,andrea cacciato insilla,1
22011,gianluca baiocchi,1
22012,alejandro falcon gonzalez,1
22013,claire peluchon,1
22014,nuria martin,1
22015,bassem i. zaki,1
22016,salles gilles,1
22017,frederic dhermain,1
22018,yushi wang,1
22019,antonino ditto,1
22020,robertas samalavicius,1
22021,melissa brooks peterson,1
22022,francesca mari,1
22023,christine devalk,1
22024,leonie kelly,1
22025,martin pecherstorfer,1
22026,filomena conti,1
22027,quentin campbell-hewson,1
22028,amorim sandy,1
22029,yousuf al-farhart,1
22030,p garot,1
22031,juan jose alegre,1
22032,ganesh manoharan,1
22033,maeva guillaume,1
22034,tamar beller,1
22035,alexander engelman,1
22036,damien collison,1
22037,arturo huerta garcia,1
22038,maura faraci,1
22039,shane white,1
22040,begona bermejo,1
22041,nitin agarwal,1
22042,romina gallizzi,1
22043,gulen hatemi,1
22044,jessica sachs,1
22045,josef thaler,1
22046,alexia suarez cabrera,1
22047,karen symons,1
22048,miquel baquero toledo,1
22049,donald phillips,1
22050,susan koh,1
22051,alessandro - perin,1
22052,robert hauser,1
22053,dawn adams,1
22054,joanne evans,1
22055,valentina boarino,1
22056,beatriz castelo fernandez,1
22057,kavish patidar,1
22058,carlos corado,1
22059,iago lago,1
22060,marina guarino,1
22061,cekin ayhan,1
22062,philippe rey,1
22063,andy yen-tang lee,1
22064,matthew worthley,1
22065,carlos javier carpio segura,1
22066,helen parfrey,1
22067,jessica schulte,1
22068,helen kloover,1
22069,vivian laquer,1
22070,pawel sidel,1
22071,janthur wolf-dieter,1
22072,mariachiara ippolito,1
22073,chad crystal,1
22074,chiara zanchi,1
22075,marybeth serrano,1
22076,giuseppe leoncini,1
22077,antonios valachis,1
22078,adalgisa caracciolo,1
22079,riccardo m. inciardi,1
22080,laura quarta,1
22081,carlos sergio chiattone,1
22082,domenico consoli,1
22083,niall conlon,1
22084,fernando rios,1
22085,manuel jibaja,1
22086,raffaele l dellaca,1
22087,patricia vaquero casado,1
22088,imma tatiana borrelli,1
22089,antonina sosnovskaya,1
22090,veronica resi,1
22091,antonella petrillo,1
22092,bernt van den blink,1
22093,marco mura,1
22094,egidio celentano,1
22095,brenner elías sabando vélez,1
22096,matteo giorgi-pierfranceschi,1
22097,akshay patel,1
22098,alain lachaux,1
22099,koianka trencheva,1
22100,mariella ciola,1
22101,hector bueno,1
22102,borislav georgiev,1
22103,vanessa silva,1
22104,pälvi vento,1
22105,jin seok ahn,1
22106,yu-ying wu,1
22107,paolo ciano,1
22108,philip e. schaner,1
22109,benjamin f. chu,1
22110,sandeep mashru,1
22111,ornella nicoletto,1
22112,patrick serruys,1
22113,christin von müller,1
22114,bruno scardazzi pozzi,1
22115,christine bang,1
22116,jeremy brownstein,1
22117,carla bente,1
22118,miriam abos garcia,1
22119,christoph betz,1
22120,noemi lois,1
22121,karen mccall,1
22122,jiri domansky,1
22123,marlene pasquet,1
22124,pierre l. triozzi,1
22125,claus-henning köhne,1
22126,deanna hairrell,1
22127,subhatra limbu,1
22128,fiona cowie,1
22129,claudia zanetti,1
22130,raymond wong,1
22131,silvia romagnoli,1
22132,andrea paoli,1
22133,clotilde morand,1
22134,stephanie wachtelaer,1
22135,luigi frigerio,1
22136,nick pavlakis,1
22137,mohamed shelan,1
22138,markus essler,1
22139,garcia salinas,1
22140,maria beatrice bilo,1
22141,rafael andreu lapiedra,1
22142,toni basinski,1
22143,aurelia grosu,1
22144,francjan van spronsen,1
22145,steven j. cohen,1
22146,cohen,1
22147,felice gragnano,1
22148,nagy zoltan,1
22149,claire paquet,1
22150,marco cotti,1
22151,herbert sperling,1
22152,loreen gramsch,1
22153,anthony chau,1
22154,mauro manno,1
22155,jean pascal machiels,1
22156,lucas vieira dos santos,1
22157,loida alejandra gonzalez-rodriguez,1
22158,nicole agostino,1
22159,aalok kumar,1
22160,nikolaos patsinakidis,1
22161,filippa nyberg,1
22162,tevfik demir,1
22163,mary johnston,1
22164,xiao-tang kong,1
22165,patrick wen,1
22166,robin nijveldt,1
22167,gianmarco iannopollo,1
22168,claudio coco,1
22169,alessandro malagoli,1
22170,per odin,1
22171,paul martin,1
22172,michela draisci,1
22173,fabrizio bronte,1
22174,alina german,1
22175,francesca guerrini,1
22176,sophie huang,1
22177,in ho kim,1
22178,gustavo de o bretas,1
22179,maria reig,1
22180,franz martin fink,1
22181,domenico gallisai,1
22182,gerhard ehninger,1
22183,patricia burrows,1
22184,nicolaus kröger,1
22185,juan carlos gómez esteban,1
22186,thierry lefevre,1
22187,adhisabandh chulakadabba,1
22188,nicolas hunzelmann,1
22189,güngör tayfun,1
22190,mario campanella,1
22191,john henry,1
22192,giribala r. patel,1
22193,john g. devlin,1
22194,marie e. wood,1
22195,charlotte jeffreys,1
22196,carol addy,1
22197,farid rashidi,1
22198,pierpaolo di micco,1
22199,marc pracht,1
22200,hans-walter lindemann,1
22201,franco narni,1
22202,giuseppe boni,1
22203,xavier deffieux,1
22204,nemecek eneida,1
22205,giuseppe banna,1
22206,chiaretti,1
22207,jeffrey sager,1
22208,nicoleta bertici,1
22209,josé maría enriquez navascues,1
22210,thalia petropoulou,1
22211,basak koc,1
22212,andrea conte,1
22213,john m. kaczmar,1
22214,patrick yuan,1
22215,erica friedman,1
22216,saul garcia,1
22217,vlasta djuranovic,1
22218,pablo rodriguez,1
22219,brungs,1
22220,georg royl,1
22221,marco vittorio resta,1
22222,emily li,1
22223,shafi mussa,1
22224,giordano d beretta,1
22225,yen kok,1
22226,valentin garcia gutierrez,1
22227,vittorio fusco,1
22228,marisa megna,1
22229,antonio ammendolia,1
22230,lance stein,1
22231,david manrique,1
22232,melissa hawkes-blackburn,1
22233,anna grisold,1
22234,thierry pistone,1
22235,michel benemou,1
22236,vannina giacobbi-milet,1
22237,violaine laurant noel,1
22238,stéphanie ngo,1
22239,violaine havelange,1
22240,alekseja manera,1
22241,nicola vitulano,1
22242,laura perucca,1
22243,sergio alfieri,1
22244,joel victor,1
22245,valentina parolin,1
22246,mariana bastos-oreiro,1
22247,georgia anguera palacios,1
22248,marco capobianco,1
22249,luca cupelli,1
22250,alicia alonso-jiménez,1
22251,frank rutsch,1
22252,gessek,1
22253,mccaughan,1
22254,shoucheng ma,1
22255,hung-chih hsu,1
22256,miguel marin vera,1
22257,paayal k. patel,1
22258,edilberto peña de leon,1
22259,irina lazarev,1
22260,qamar khan,1
22261,axel durieux,1
22262,balasubramanian ananthi,1
22263,amy harper,1
22264,sara pascoe,1
22265,olga azevedo,1
22266,oscar rillo,1
22267,cristina ribera,1
22268,héctor bueno,1
22269,jiliang zhang,1
22270,roberto lorenzoni,1
22271,steve steiner,1
22272,nora vanegas-arroyave,1
22273,nicola cerioli,1
22274,carmen durante,1
22275,kristie hensel,1
22276,grace yoon,1
22277,agnieszka zachurzok,1
22278,patrick alexander,1
22279,wen-tsung huang,1
22280,ricci,1
22281,maria antonietta pizzichetta,1
22282,chiara alessandra cella,1
22283,judit ildiko hevesi,1
22284,giulia giacomucci,1
22285,leone roberto,1
22286,tatiana lavrova,1
22287,sacchi stefano,1
22288,enzo maria vingolo,1
22289,ka wah chan,1
22290,alessandro inserra,1
22291,jonathan drachman,1
22292,giambattista roda,1
22293,andrew davidson,1
22294,jasmine board,1
22295,daniela calabrese,1
22296,gerd fastner,1
22297,deborah a. hall,1
22298,sonia moreno,1
22299,stafano sv vella,1
22300,rupali nabar,1
22301,ville sallinen,1
22302,leonardo pantoni,1
22303,patrizia suppressa,1
22304,keith t flaherty,1
22305,jonathan rubino,1
22306,inmaculada cañas,1
22307,silvia soler simón,1
22308,ceccherini,1
22309,hassan heshmati,1
22310,paloma parvex,1
22311,michele trezzi,1
22312,gresele,1
22313,luca ronfani,1
22314,jennifer underwood,1
22315,stephanie persons,1
22316,gayle jones,1
22317,kristal hodge,1
22318,carl-friedrich classen,1
22319,carolyn nessim,1
22320,chang jennifer,1
22321,patrick magnus,1
22322,michela anghileri,1
22323,irene telias,1
22324,jeffrey g. kuremsky,1
22325,laura quintana paris,1
22326,andreas schulze bonhage,1
22327,romualdo ancog,1
22328,marina cavaliere,1
22329,aaron blandino,1
22330,neysa dagostino,1
22331,john brandsema,1
22332,marwin kazimi,1
22333,amar gupta,1
22334,aad van den berg,1
22335,fernando ovalle,1
22336,antonio moschetta,1
22337,nevena danekova,1
22338,claudia kalkowski,1
22339,davide durì,1
22340,afaf osman,1
22341,gaëlle fossard,1
22342,kalman filanovsky,1
22343,maria diez campelo,1
22344,martin weltman,1
22345,zhihong liu,1
22346,eric p. kielhorn,1
22347,alessandra pigni,1
22348,alex thompson,1
22349,danny clay,1
22350,annalisa aracino,1
22351,leslie a spikes,1
22352,simone nicosia,1
22353,benedetto ielpo,1
22354,jorge salinas,1
22355,mauricio reyes,1
22356,saroj das majumdar,1
22357,gopichand mamillapalli,1
22358,thomas opladen,1
22359,alessandra soriano,1
22360,juan marcelo muraro,1
22361,ying yuan,1
22362,jana mihalyova,1
22363,alessandro soria,1
22364,julio cesar wiederkehr,1
22365,andrew j weickhardt,1
22366,guilhem roubaud,1
22367,nadia bahi-buisson,1
22368,lawrence gervasi,1
22369,stefan mattheis,1
22370,arvind sahu,1
22371,cecilia lam longo,1
22372,wolfram malter,1
22373,kenji tamura,1
22374,laura ferreira freire,1
22375,matthew pianko,1
22376,carlos selema,1
22377,james b. hall,1
22378,tal schiller,1
22379,jacobo sellares,1
22380,nazia chauhudri,1
22381,mariko sato,1
22382,daniel bowers,1
22383,anjali owens,1
22384,valeria pace palitti,1
22385,adam brufsky,1
22386,mauro santarelli,1
22387,agostino gaudio,1
22388,charan lanjewar,1
22389,manfredi arioti,1
22390,claudia andreetta,1
22391,ruby anne deveras,1
22392,mariana miyasaki piovesana,1
22393,soccoh alex kabia,1
22394,kiran lassi,1
22395,william fox,1
22396,sang-we kim,1
22397,eliana zuffa,1
22398,tamás pintér,1
22399,ulrich duehrsen,1
22400,norberto perico,1
22401,andrea martoni,1
22402,jay dinerman,1
22403,d. moodley,1
22404,manfred westphal,1
22405,stefano guidi,1
22406,mira didic,1
22407,zhirajr mokini,1
22408,pedro chana,1
22409,thomas j. galloway,1
22410,paloma garcía de la peña lefebvre de la peña lefebvre,1
22411,tunc fisgin,1
22412,maria c. zavettieri,1
22413,ian rabinowitz,1
22414,serge marbacher,1
22415,javier pagan escribano,1
22416,aldo caporossi,1
22417,eugen ladner,1
22418,michael neuss,1
22419,marc baron,1
22420,eric ducasse,1
22421,bin s. teh,1
22422,michael thorsgaard,1
22423,giancarlo ceccarelli,1
22424,roberto milos,1
22425,kelly hannon,1
22426,marco lattuada,1
22427,jason sicklick,1
22428,carmelo minardi,1
22429,angelucci,1
22430,maria gonzalez cao,1
22431,piyawan tienchaiananda,1
22432,jeff gregory,1
22433,faysal haroun,1
22434,eva m ciruelos gíl,1
22435,don lee,1
22436,andrea alberto lissoni,1
22437,maurizio gallieni,1
22438,veronica de santiago,1
22439,roberto s cairoli,1
22440,pellgrino musto,1
22441,jochen rößler,1
22442,rachel phelan,1
22443,annarosa cuccaro,1
22444,augusto federici,1
22445,maria elena de piero,1
22446,rachel m ochoa,1
22447,christos zouboulis,1
22448,laura cortesi,1
22449,pierre blemur,1
22450,xiaofan zhu,1
22451,anthony goncalves,1
22452,jae-hoon lee,1
22453,nursing,1
22454,fabrizia colmegna,1
22455,maryse etienne-julan,1
22456,alice frontali,1
22457,maria pagoni,1
22458,benamer h,1
22459,luigi mancini,1
22460,déborah desmier,1
22461,evangelia mpliakou,1
22462,reem ghalib,1
22463,soritha coetzer,1
22464,meritxell casas rodrigo,1
22465,sai-hong i ou,1
22466,se-hoon lee,1
22467,vittorio semeraro,1
22468,richard riedel,1
22469,bogdan horia chicos,1
22470,jennifer valerin,1
22471,kyriakos lobotesis,1
22472,mustafa abdo,1
22473,peter voorhees,1
22474,sigve andersen,1
22475,ibrahim dagher,1
22476,alessandra spinelli,1
22477,hartleib,1
22478,vermeulen,1
22479,hisateru yasui,1
22480,john shen,1
22481,gonzalo sapisochin,1
22482,rik vandenberghe,1
22483,denise colosimo,1
22484,saadet andrews,1
22485,naomi kiyota,1
22486,ramon vila coll,1
22487,frances barnett,1
22488,michal mego,1
22489,timothy gale rodgers,1
22490,jamie w. rhoads,1
22491,chieh hua lu,1
22492,andrew cluster,1
22493,karthikeyan ananthasubramaniam,1
22494,yamila chichotky,1
22495,elena fiorio,1
22496,giovanni trisolino,1
22497,maurizia rossana brunetto,1
22498,il hwan kim,1
22499,ana maria alonso torres,1
22500,dinesh k gupta,1
22501,nikoleta marku,1
22502,natasha desai,1
22503,albert perez-montana,1
22504,jordi guzmán casta,1
22505,cristina gussago,1
22506,shahkrokh f shariat,1
22507,marry m. van den heuvel-eibrink,1
22508,sophie leyman,1
22509,paul hayes,1
22510,estrella blanco,1
22511,maria grazia nadia d'angelo,1
22512,manuel bertaglia,1
22513,rosangela invernizzi,1
22514,stefano coaccioli,1
22515,ricardo ruiz granell,1
22516,stefano cereda,1
22517,amir sharafkhaneh,1
22518,simon rubidge,1
22519,mairead fallon,1
22520,david mitchell,1
22521,alphan kupesiz,1
22522,luca fasano,1
22523,ralph j. hauke,1
22524,khashayar dashtipour,1
22525,isacco maretto,1
22526,carolina guedes,1
22527,sharon peoples,1
22528,christina große-thie,1
22529,johannes düll,1
22530,jan belholavek,1
22531,lucia rugeri,1
22532,mikko järvisalo,1
22533,richard shenderey,1
22534,gino r corazza,1
22535,valerii ivanov,1
22536,paolo mendogni,1
22537,alfredo vetrano,1
22538,sandra gomez-talavera,1
22539,luca cordaro,1
22540,jennifer lee,1
22541,janice mehnert,1
22542,maltem yuksel,1
22543,chen-chun yang,1
22544,valerio caracino,1
22545,mirko bottari,1
22546,kristin campbell,1
22547,eugenija marusic,1
22548,stefania maraka,1
22549,sara richiusa,1
22550,trine tangeraas,1
22551,annalisa tondo,1
22552,federico capone,1
22553,alberto gajofatto study principal investigator,1
22554,mauro podda,1
22555,ho-joon im,1
22556,david packham,1
22557,encarna adrover cebrián,1
22558,gaëlle rhyner agocs,1
22559,ken simpson,1
22560,james lenhard,1
22561,tammy e roque,1
22562,marie laure couec,1
22563,isabelle genty,1
22564,giovanni palazzi,1
22565,michele bonis de,1
22566,lorinda chung,1
22567,bozena budziszewska,1
22568,pooja motwani,1
22569,michal kascak,1
22570,axel quintero,1
22571,elio martinez,1
22572,ewa paszkiewicz-kozik,1
22573,christopher ryan,1
22574,jacob dubien,1
22575,benseler,1
22576,jordi teixidor serra,1
22577,dian wang,1
22578,raghav govindarajan,1
22579,angelo nascimbene,1
22580,jun gong,1
22581,cheng,1
22582,trevino,1
22583,nagy,1
22584,monica loy,1
22585,nuria rodriguez salas,1
22586,xingbing wang,1
22587,unmesh mohite,1
22588,bahlis,1
22589,donald l. anderson,1
22590,emily clark,1
22591,karen keough,1
22592,ernest balaguer martinez,1
22593,hirosho banno,1
22594,mei feng,1
22595,irina blumenstein,1
22596,ivo klarin,1
22597,holm uhlig,1
22598,thaddeus a beeker,1
22599,fabrizio edgar velasco perez,1
22600,erhan gokmen,1
22601,nicholas burwick,1
22602,lydia lopez,1
22603,pierre-andre becherel,1
22604,vera teixeira,1
22605,laura castro castrezana,1
22606,benedetta nacmias,1
22607,murilo de oliveira antunes,1
22608,edoardo gandolfi,1
22609,jin li,1
22610,robert tyler luckett,1
22611,huyen tran,1
22612,pablo pastor muñoz,1
22613,giancarlo di gennaro,1
22614,gloria margiotta casaluci,1
22615,charlene marie fares,1
22616,ilaria artuso,1
22617,luis alberto romero carachuri,1
22618,francesca caumo,1
22619,james h schultz,1
22620,yuhki koga,1
22621,daniel hsia,1
22622,kristel van calsteren,1
22623,liliana caggese,1
22624,eric t. wong,1
22625,rita golfieri,1
22626,pierre-yves jeandel,1
22627,ralf bargou,1
22628,judith s hochman,1
22629,cristina januário,1
22630,giovanni carlo del vecchio,1
22631,federica sorà,1
22632,ying j. hitchcock,1
22633,giuseppe polimeno,1
22634,assunta iuliano,1
22635,roger s. keresztes,1
22636,matthew rendo,1
22637,guido bocci,1
22638,vp,1
22639,mike sharland,1
22640,georg heß,1
22641,torsten dahlen,1
22642,andreas gotte,1
22643,la sala,1
22644,manuela carvalho,1
22645,sander dijkstra,1
22646,matthew mckinney,1
22647,paolo gennaro,1
22648,timothy j. whelan,1
22649,thomas stauffer larsen,1
22650,nicola de bortoli,1
22651,javier botas,1
22652,ana maria campos,1
22653,murali chakinala,1
22654,wendy stevens,1
22655,benedetta siroli,1
22656,marie-claude ouimet,1
22657,keyoumars ashkan,1
22658,xiaolong qi,1
22659,jennifer a dorth,1
22660,nandini ignatius,1
22661,maria grazia rodriquenz,1
22662,yao liu,1
22663,francesco macchini,1
22664,antoine de costa,1
22665,david stukus,1
22666,theresa m. medina,1
22667,lianna marks,1
22668,erika u borlenghi,1
22669,frederik marmé,1
22670,ioanna christodoulou,1
22671,lauren bollinger,1
22672,guilherme cantuaria,1
22673,elisabeth vandenberghe,1
22674,alejandro muñoz jimenez,1
22675,jorge beato,1
22676,francisco tinahones,1
22677,michele prisciandaro,1
22678,matthew davids,1
22679,steffen ruchholtz,1
22680,maria pagliaro,1
22681,nai-wen tsai,1
22682,peter bauer,1
22683,yu shiying,1
22684,michele masetti,1
22685,martín paskevicius,1
22686,melissa lah,1
22687,lance rudolph,1
22688,nadjar yann,1
22689,yoichi wada,1
22690,timmy cheng,1
22691,myuri jeyabalachandran,1
22692,jan dvorak,1
22693,christopher h. van dyck,1
22694,tony bruns,1
22695,maurizio cecconi,1
22696,jessica moller,1
22697,tiziana tassinari,1
22698,ludovica ughi,1
22699,ritesh parajuli,1
22700,gema vanesa aguil guerrero,1
22701,nina ditsch,1
22702,norikazu masuda,1
22703,jorge enrique aguilar arreola,1
22704,mariano ignacio chahin,1
22705,kenei shimada,1
22706,bernadette king,1
22707,albert hagege,1
22708,maurizio rossini,1
22709,nicole karam,1
22710,christopher antolini,1
22711,nandkishore ranadive,1
22712,livia tomasova,1
22713,elena zoico,1
22714,ewa ewa pankowska,1
22715,paolo persona,1
22716,jose manuel vazquez rodriguez,1
22717,zadalla mouslech,1
22718,filippo flamigni,1
22719,luca barozzi,1
22720,karen a. gelmon,1
22721,kellie sprague,1
22722,jerzy holowiecki,1
22723,liliana calabrese,1
22724,paolo di bartolomei,1
22725,fassnacht martin,1
22726,pieter stella,1
22727,william tap,1
22728,massimo tritto,1
22729,esteban muñoz,1
22730,summer harris,1
22731,sara bartoncini,1
22732,cordina ancuta,1
22733,kaoru kubota,1
22734,frederick nevens,1
22735,janice mcalister,1
22736,marta morawska,1
22737,france souteyrand,1
22738,cataldo palmieri,1
22739,osman bulent zulfikar,1
22740,massimiliano gennaro,1
22741,marco tremolati,1
22742,helen baldomero,1
22743,bugada dario,1
22744,claudio vimercati,1
22745,felix feng,1
22746,roy,1
22747,craig m. pochini,1
22748,giovanni salati,1
22749,cabras,1
22750,valentina bellini,1
22751,eugenia maranella,1
22752,dirk strauss,1
22753,ronald akkerman,1
22754,daniel haggstrom,1
22755,masa malenica,1
22756,matias accoce,1
22757,lawrence piro,1
22758,patricia a. locantore-ford,1
22759,giuseppe rotondo,1
22760,samantha curtis,1
22761,chiara baracetti,1
22762,srdan verstovsek,1
22763,pedro amorim,1
22764,matteo pirro,1
22765,jorik slotman,1
22766,marta anna sobas,1
22767,tiberio canini,1
22768,savino occhionorelli,1
22769,stephanie evans,1
22770,jean paul salmon,1
22771,clara martínez,1
22772,tasneem pirani,1
22773,julianne pugh,1
22774,ryusuke yamamoto,1
22775,mario calci,1
22776,sai atmani,1
22777,cécile dumesnil de maricourt,1
22778,letizia laface,1
22779,howard m lazarus,1
22780,ruiz-nodar jm,1
22781,antonio guastafierro,1
22782,senthil raghavan,1
22783,myung choi,1
22784,bo feng,1
22785,qing mao,1
22786,birgit gruenberger,1
22787,sun,1
22788,joseph tiano,1
22789,antonius korschinsky,1
22790,jarosław kasprzak,1
22791,lloyd t. miyawaki,1
22792,krishna menon,1
22793,cecília alvim,1
22794,diana dmitrenko,1
22795,marcelino prieto,1
22796,antonio luca brucato,1
22797,kenneth hilty,1
22798,gary buchschacher jr,1
22799,yann touchefeu,1
22800,tuon le,1
22801,song,1
22802,oscar reig torras,1
22803,giuseppe talanas,1
22804,lucia crocella,1
22805,kareem naamani,1
22806,simona carnio,1
22807,maria p mazzaferro,1
22808,julio de maria,1
22809,nathaniel cohen,1
22810,francisco javier martin carpi,1
22811,juan jose zarba,1
22812,yasuhiro yanagita,1
22813,raquel andres,1
22814,victoria patricia werth,1
22815,li mao,1
22816,claudia schusterbauer,1
22817,stefan kääb,1
22818,jose rubio,1
22819,warren chow,1
22820,roger von moos,1
22821,michael palumbo,1
22822,stephen mcadoo,1
22823,inês marques,1
22824,massimo pieraccini,1
22825,pinuccia faviana,1
22826,maryann banerji,1
22827,wim van paesschen,1
22828,julia johnson,1
22829,roberto sciagra,1
22830,salvatore madonia,1
22831,lucia brunello,1
22832,thibaut van zele,1
22833,ursula kirchmayer,1
22834,guillermo sanz,1
22835,francesco ferrau,1
22836,oscar alabiso,1
22837,marta gadacz,1
22838,jan a deprest,1
22839,g oszkinis,1
22840,nobert schmitz,1
22841,jacopo mangoni,1
22842,marie saint-hillaire,1
22843,kathleen shannon,1
22844,hannah mesmer,1
22845,simone kögler,1
22846,françois chollet,1
22847,tamara intermesoli,1
22848,leonardo pacilli,1
22849,lorenzo ghiadoni,1
22850,ashley l. ward,1
22851,aaron s. mansfield,1
22852,rodolfo e. bordoni,1
22853,eric h. bernicker,1
22854,elena alonso,1
22855,mark kilby,1
22856,sven mahner,1
22857,tahir shah,1
22858,irina kerle,1
22859,yelamis cartaya,1
22860,davide bua,1
22861,robert atkinson,1
22862,nadia zaffaroni,1
22863,pamela boimel,1
22864,david araujo-vilar,1
22865,marie-christine vantyghem,1
22866,isabelle jeru,1
22867,kai-helge schmidt,1
22868,monica martinez,1
22869,chan raut,1
22870,priya u. kumthekar,1
22871,edward grant,1
22872,nikolaos machairas,1
22873,van k morris,1
22874,freimut h. schilling,1
22875,rafael malgor,1
22876,raman uberoi,1
22877,warren cantor,1
22878,matteo di nardo,1
22879,toshiyuki toshiyuki hikita,1
22880,prab prabhakar,1
22881,antonio pizzolorusso,1
22882,pietro galieni,1
22883,christina mayr,1
22884,victor sanfins,1
22885,joão de sousa,1
22886,nicholas j linker,1
22887,eva buhlmann,1
22888,zsolt kulcsár,1
22889,nicholas mclean,1
22890,kriss grande,1
22891,sandra thornton,1
22892,medical monitor,1
22893,sherko kümmel,1
22894,davide ghinolfi,1
22895,christian perings,1
22896,rossella troccoli,1
22897,angelika lackner,1
22898,ina girakossyan,1
22899,aneta dobrzyńska-rutkowska,1
22900,amy dezern,1
22901,francesca carissimi,1
22902,pierce dotherow,1
22903,jason wilson,1
22904,sha weihong,1
22905,smid vaclav,1
22906,jose luis calleja panero,1
22907,andrew brohl,1
22908,garrett wasp,1
22909,derek haaland,1
22910,david spaner,1
22911,jill torneden,1
22912,massimo antonio di pietro,1
22913,li,1
22914,gregory dumanian,1
22915,anton vonk noordegraaf,1
22916,giuseppe argenziano,1
22917,francesca gonnelli,1
22918,takako nakajima,1
22919,gonova,1
22920,aleksandar gavrilovic,1
22921,woo jin lee,1
22922,harry schrager,1
22923,raab,1
22924,alberto foà,1
22925,cristina romero castellano,1
22926,marcel hungs,1
22927,isabel chirivella gonzalez,1
22928,lorena garrote espina,1
22929,silvio c sales,1
22930,jordi giralt lopez de sagredo,1
